company,long,long_chg,short,short_chg,volume,volume_chg
中信期货,1189,38,1607,-16,230,38
新湖期货,592,3,0,0,0,0
申银万国期货,577,58,0,0,135,74
中粮期货,532,-2,1280,-43,0,0
浙商期货,523,77,0,0,132,103
国泰期货,510,50,478,100,252,30
银河期货,486,-59,0,0,183,116
华泰期货,463,27,985,-42,197,-46
国投安信期货,416,-1,2340,-69,254,28
东方财富期货,409,82,216,0,240,66
方正中期期货,406,20,466,8,196,89
广发期货,397,23,348,-9,0,0
东证期货,379,29,0,0,339,135
国信期货,376,-13,0,0,0,0
平安期货,325,19,0,0,0,0
东吴期货,322,-10,0,0,0,0
南华期货,282,2,195,31,0,0
格林期货,252,-4,462,-3,125,21
永安期货,242,1,1052,73,188,113
徽商期货,240,13,0,0,154,117
中州期货,0,0,0,0,172,84
中信建投期货,0,0,221,6,183,94
华闻期货,0,0,348,12,0,0
中辉期货,0,0,185,-2,0,0
光大期货,0,0,194,22,142,26
先锋期货,0,0,225,173,238,211
宏源期货,0,0,0,0,132,53
弘业期货,0,0,187,1,0,0
海通期货,0,0,0,0,161,19
美尔雅期货,0,0,599,82,167,125
首创期货,0,0,504,45,0,0
鲁证期货,0,0,338,-8,0,0
