company,long,long_chg,short,short_chg,volume,volume_chg
国泰君安,1810,12,912,12,218,-884
新湖期货,1330,49,1030,51,194,-209
中信建投,1306,26,1761,32,190,-371
国投安信,1265,31,1917,18,173,-640
首创京都,1137,-1,375,6,0,0
中信期货,1054,-26,3663,33,391,-443
华泰期货,951,-16,1000,1,0,0
海通期货,918,90,518,-14,278,-95
方正中期,879,-21,716,-16,199,-227
招商期货,840,-2,1350,-1,123,-241
永安期货,774,1,301,-1,0,0
银河期货,760,17,637,-4,175,-468
长江期货,647,-54,457,-58,142,-247
紫金天风,641,9,0,0,0,0
浙商期货,545,8,414,12,600,182
南华期货,519,13,1632,0,239,-343
信达期货,459,21,301,1,0,0
华鑫期货,398,0,0,0,0,0
东证期货,392,-55,0,0,295,-234
创元期货,386,-2,0,0,0,0
中粮期货,0,0,4090,6,0,0
东方财富,0,0,0,0,113,-59
华西期货,0,0,0,0,79,-78
中财期货,0,0,0,0,76,-24
五矿期货,0,0,0,0,82,36
光大期货,0,0,0,0,84,-149
中泰期货,0,0,438,0,0,0
广发期货,0,0,0,0,80,-53
格林大华,0,0,884,1,0,0
瑞达期货,0,0,345,114,178,127
