company,long,long_chg,short,short_chg,volume,volume_chg
国泰君安,2644,78,3675,389,2553,338
华泰期货,2431,80,1600,-26,930,-200
中信建投,2409,-100,0,0,1260,-9
华西期货,1751,0,0,0,0,0
中泰期货,1697,128,1483,24,932,326
中信期货,1495,-39,2032,-23,1892,192
广发期货,1454,51,676,51,660,284
方正中期,1274,33,1091,26,1219,106
永安期货,1268,-247,2011,-54,871,275
海通期货,1136,88,0,0,692,126
东证期货,1095,7,2462,59,1668,-540
东方财富,1073,118,0,0,793,20
华联期货,984,-122,0,0,0,0
光大期货,919,28,1311,-79,447,-247
银河期货,900,18,1489,41,453,-264
南华期货,800,-8,0,0,569,166
平安期货,687,-37,0,0,0,0
创元期货,663,-37,0,0,0,0
中粮期货,648,-9,3001,-33,0,0
国联期货,636,7,0,0,0,0
东吴期货,0,0,754,-66,0,0
一德期货,0,0,739,-11,0,0
华闻期货,0,0,0,0,977,-79
兴证期货,0,0,675,-21,495,122
东航期货,0,0,651,52,0,0
中州期货,0,0,1431,-17,0,0
国金期货,0,0,0,0,618,-199
国元期货,0,0,673,22,0,0
国富期货,0,0,0,0,876,-75
国投安信,0,0,915,3,0,0
国信期货,0,0,0,0,473,-112
徽商期货,0,0,0,0,455,-9
首创京都,0,0,735,6,0,0
齐盛期货,0,0,719,35,0,0
