company,long,long_chg,short,short_chg,volume,volume_chg
中信期货,3732,-103,7407,-28,1165,-206
国泰君安,2916,-25,6744,353,1620,383
银河期货,2428,-59,1382,8,399,-103
东证期货,2414,136,2063,-62,2730,15
海通期货,2120,42,1744,53,433,33
中信建投,2056,67,1230,-9,422,-17
华泰期货,1965,82,3064,97,793,95
徽商期货,1953,13,0,0,393,-36
方正中期,1682,-64,0,0,853,-452
宏源期货,1659,30,0,0,0,0
中泰期货,1621,-66,1740,-258,1192,-288
光大期货,1582,-106,1082,-105,881,125
广发期货,1530,52,1176,23,335,-205
永安期货,1425,27,6676,314,465,177
申银万国,1366,-32,0,0,0,0
中粮期货,1361,-48,1188,43,0,0
东方财富,1359,13,0,0,0,0
南华期货,1255,8,2989,-2,2634,472
平安期货,1221,81,0,0,272,-130
国投期货,1168,4,2331,19,0,0
东吴期货,0,0,1033,-65,691,500
中州期货,0,0,2460,-2,0,0
国元期货,0,0,0,0,391,157
中财期货,0,0,1451,90,0,0
国海良时,0,0,1196,-1,0,0
宁证期货,0,0,0,0,297,252
招商期货,0,0,0,0,339,-20
格林大华,0,0,3555,-133,0,0
长江期货,0,0,0,0,666,157
首创京都,0,0,1504,1,0,0
