date,net_position
2026-04-29,-4495
2026-04-30,-5698
2026-05-06,-5489
2026-05-07,-5123
2026-05-08,-5447
2026-05-11,-6965
2026-05-12,-7998
2026-05-13,-8437
2026-05-14,-8743
2026-05-18,-8579
2026-05-19,-8772
2026-05-20,-9115
2026-05-21,-9231
2026-05-22,-9921
2026-05-25,-9669
2026-05-26,-9645
2026-05-27,-8901
2026-05-28,-8720
2026-05-29,-8548
2026-06-01,-8078
2026-06-02,-8138
2026-06-03,-8884
2026-06-04,-8694
2026-06-08,-9084
2026-06-09,-9520
2026-06-10,-9759
2026-06-11,-9871
2026-06-12,-9761
2026-06-15,-9295
2026-06-16,-8791
2026-06-17,-9158
2026-06-18,-9202
2026-06-22,-9942
2026-06-23,-10321
2026-06-24,-9965
2026-06-25,-9835
2026-06-26,-10000
2026-06-29,-10518
2026-06-30,-10445
2026-07-01,-10642
2026-07-02,-10880
2026-07-03,-11119
2026-07-06,-12208
2026-07-07,-12380
2026-07-08,-12078
2026-07-09,-11875
2026-07-10,-11744
2026-07-14,-11453
2026-07-15,-11098
2026-07-16,-11034
