company,long,long_chg,short,short_chg,volume,volume_chg
国泰君安,2078,-3,1689,-157,628,373
广发期货,1085,45,564,9,212,33
中信期货,928,-18,1412,4,480,11
中泰期货,803,-29,0,0,128,57
银河期货,737,59,1088,44,251,30
光大期货,680,28,281,2,0,0
华泰期货,677,40,1242,-9,237,39
长江期货,624,-2,333,-2,584,254
南华期货,592,-4,1141,-1,327,112
浙商期货,533,0,500,-2,330,103
中粮期货,471,53,2697,-6,391,211
华西期货,470,-8,0,0,0,0
海通期货,468,-28,334,0,398,-57
永安期货,463,7,1071,94,249,188
中财期货,392,36,0,0,0,0
格林大华,381,6,435,0,0,0
东证期货,367,-11,0,0,364,86
上海东亚,352,14,0,0,0,0
首创京都,328,-22,601,-10,0,0
方正中期,316,42,317,12,282,10
一德期货,0,0,0,0,156,121
五矿期货,0,0,274,16,512,149
中州期货,0,0,621,8,0,0
东吴期货,0,0,277,5,0,0
中信建投,0,0,0,0,182,65
徽商期货,0,0,0,0,138,115
国投安信,0,0,1386,-5,146,88
紫金天风,0,0,0,0,164,49
长安期货,0,0,361,-6,0,0
