date,net_position
2025-03-31,-2938
2025-04-01,-2793
2025-04-02,-2695
2025-04-03,-2764
2025-04-07,-2839
2025-04-08,-2860
2025-04-09,-2682
2025-04-10,-2785
2025-04-11,-2758
2025-04-14,-3090
2025-04-15,-3203
2025-04-16,-3184
2025-04-17,-3486
2025-04-18,-3636
2025-04-21,-3578
2025-04-22,-3895
2025-04-23,-3828
2025-04-24,-3575
2025-04-25,-3472
2025-04-28,-3331
2025-04-29,-3026
2025-04-30,-3008
2025-05-06,-3162
2025-05-07,-3236
2025-05-08,-3377
2025-05-09,-3805
2025-05-12,-3903
2025-05-13,-4016
2025-05-14,-3982
2025-05-15,-4098
2025-05-16,-3876
2025-05-19,-4038
2025-05-20,-4104
2025-05-21,-4090
2025-05-22,-4114
2025-05-23,-4269
2025-05-26,-4494
2025-05-27,-4250
2025-05-28,-4227
2025-05-29,-3258
2025-05-30,-3485
2025-06-03,-3267
2025-06-04,-3469
2025-06-05,-3631
2025-06-06,-3659
2025-06-09,-3559
2025-06-10,-3832
2025-06-11,-3935
2025-06-12,-3934
2025-06-13,-4189
2025-06-16,-4109
2025-06-17,-3955
2025-06-18,-3786
2025-06-19,-3998
2025-06-20,-4070
2025-06-23,-3977
2025-06-24,-3860
2025-06-25,-3544
2025-06-26,-3476
2025-06-27,-3529
2025-06-30,-3710
2025-07-01,-3640
2025-07-02,-3354
2025-07-03,-2889
2025-07-04,-2453
2025-07-07,-2185
2025-07-08,-2112
2025-07-09,-2114
2025-07-10,-2461
2025-07-11,-2667
2025-07-14,-2631
2025-07-15,-2906
2025-07-16,-2492
2025-07-17,-2824
2025-07-18,-2778
2025-07-21,-2984
2025-07-22,-2697
2025-07-23,-3485
2025-07-24,-4368
2025-07-25,-6469
2025-07-28,-5766
2025-07-29,-5303
2025-07-30,-5078
2025-07-31,-3777
2025-08-01,-3234
2025-08-04,-3420
2025-08-05,-3745
2025-08-06,-2104
2025-08-07,-2798
2025-08-08,-3879
2025-08-11,-3935
2025-08-12,-3643
2025-08-13,-4097
2025-08-14,-4839
2025-08-15,-4608
2025-08-18,-4817
2025-08-19,-4615
2025-08-20,-4399
2025-08-21,-4470
2025-08-22,-4580
2025-08-25,-5038
2025-08-26,-4791
2025-08-27,-4749
2025-08-28,-3790
2025-08-29,-3834
2025-09-01,-3144
2025-09-02,-3429
2025-09-03,-3516
2025-09-04,-3317
2025-09-05,-2724
2025-09-08,-2528
2025-09-09,-3285
2025-09-10,-2837
2025-09-11,-2672
2025-09-12,-3022
2025-09-15,-3322
2025-09-16,-3560
2025-09-17,-4656
2025-09-18,-5442
2025-09-19,-4027
2025-09-22,-3348
2025-09-23,-3525
2025-09-24,-3006
2025-09-25,-4172
2025-09-26,-5079
2025-09-29,-3396
2025-09-30,-2877
2025-10-09,-3714
2025-10-10,-3444
2025-10-13,-2197
2025-10-14,-1364
2025-10-15,-2037
2025-10-16,-2736
2025-10-17,-3059
2025-10-20,-2792
2025-10-21,-2340
2025-10-22,-2511
