company,long,long_chg,short,short_chg,volume,volume_chg
中信期货（代客）,2497,258,2257,135,1623,406
国泰君安（代客）,2098,45,3539,140,961,243
中信建投（代客）,1608,-185,1651,56,675,436
东证期货（代客）,1522,58,736,-32,1950,581
方正中期（代客）,1328,21,0,0,428,127
中粮期货（代客）,1319,21,1928,12,0,0
广发期货（代客）,1106,-9,925,-19,0,0
格林大华（代客）,1106,51,1432,-11,0,0
华泰期货（代客）,1085,48,1394,41,777,267
浙商期货（代客）,842,-6,0,0,0,0
东方财富（代客）,834,23,0,0,295,63
中泰期货（代客）,802,-25,1356,-76,273,66
银河期货（代客）,753,-70,898,-34,248,60
徽商期货（代客）,732,-23,0,0,234,45
光大期货（代客）,728,116,1113,194,898,343
申银万国（代客）,727,-12,0,0,0,0
招商期货（代客）,723,21,1257,-3,266,155
五矿期货（代客）,715,183,793,6,363,262
海通期货（代客）,706,17,0,0,592,234
华联期货（代客）,698,-6,0,0,0,0
中州期货（代客）,0,0,1252,-122,0,0
中辉期货（代客）,0,0,0,0,235,80
南华期货（代客）,0,0,1859,0,0,0
创元期货（代客）,0,0,903,-18,0,0
国新国证期货（代客）,0,0,800,141,0,0
国投安信（代客）,0,0,1331,0,0,0
永安期货（代客）,0,0,2202,102,285,167
新湖期货（代客）,0,0,0,0,259,149
瑞达期货（代客）,0,0,0,0,553,73
海证期货（代客）,0,0,0,0,198,156
鑫鼎盛期货（代客）,0,0,741,1,0,0
齐盛期货（代客）,0,0,0,0,218,134
