company,long,long_chg,short,short_chg,volume,volume_chg
中信建投,1526,4,1916,-2,262,-173
新湖期货,1425,-11,1107,1,214,-146
国泰君安,1351,22,1156,17,285,-256
中信期货,1217,6,2353,17,341,-50
华泰期货,929,-12,1237,-49,0,0
东证期货,902,-219,563,-219,596,-1045
中粮期货,878,-15,4013,28,0,0
国投安信,832,-2,849,0,300,-60
永安期货,769,-9,0,0,0,0
海通期货,762,2,469,-6,102,-78
宏源期货,738,18,0,0,115,44
方正中期,707,33,424,17,188,-87
南华期货,685,-4,961,-18,252,42
广发期货,673,153,487,2,173,-25
招商期货,646,-25,719,0,157,-66
银河期货,612,10,0,0,0,0
徽商期货,525,-16,0,0,129,-64
浙商期货,497,77,941,78,175,-100
金瑞期货,458,-10,0,0,0,0
中泰期货,445,-5,0,0,93,-162
东吴期货,0,0,561,-15,0,0
国元期货,0,0,437,-8,0,0
信达期货,0,0,0,0,92,78
兴证期货,0,0,0,0,141,98
创元期货,0,0,491,-66,98,65
格林大华,0,0,1632,-3,0,0
瑞达期货,0,0,832,100,114,16
英大期货,0,0,0,0,110,107
首创京都,0,0,450,0,0,0
