company,long,long_chg,short,short_chg,volume,volume_chg
中信期货,2337,-178,3426,-17,1745,-897
华泰期货,2258,64,1488,143,1007,-722
国泰期货,2017,-5,3162,45,1236,-168
银河期货,1815,29,970,50,557,-411
方正中期期货,1774,140,1029,202,1024,-602
东方财富期货,1450,71,0,0,973,-341
永安期货,1402,105,3294,153,662,-364
申银万国期货,1160,-45,0,0,0,0
浙商期货,1123,-8,0,0,621,150
国投安信期货,1114,-94,3834,45,421,-203
徽商期货,1088,28,0,0,750,-22
广发期货,1074,-19,1245,25,0,0
国海良时期货,1064,278,0,0,495,147
物产中大,1024,-22,0,0,0,0
新湖期货,977,-22,0,0,0,0
信达期货,925,-50,0,0,0,0
平安期货,871,-24,0,0,476,-49
光大期货,866,52,966,-47,483,-651
海通期货,861,95,908,11,794,-270
国信期货,859,9,0,0,698,-320
中财期货,0,0,778,58,0,0
东证期货,0,0,1159,-160,1605,-508
东吴期货,0,0,820,-36,469,-337
南华期货,0,0,778,19,0,0
中信建投期货,0,0,918,26,585,-170
中粮期货,0,0,4040,297,618,305
招商期货,0,0,0,0,533,99
格林期货,0,0,2685,-17,0,0
招金期货,0,0,724,-14,0,0
瑞达期货,0,0,705,-4,0,0
首创期货,0,0,713,20,0,0
