date,net_position
2026-02-04,-6345
2026-02-05,-6082
2026-02-06,-5845
2026-02-09,-5924
2026-02-10,-5983
2026-02-11,-6167
2026-02-12,-6187
2026-02-13,-6239
2026-02-24,-6171
2026-02-25,-6759
2026-02-26,-6948
2026-02-27,-7509
2026-03-02,-8243
2026-03-03,-8648
2026-03-04,-8851
2026-03-05,-8716
2026-03-06,-9111
2026-03-09,-10093
2026-03-11,-10866
2026-03-16,-10684
2026-03-17,-10700
2026-03-18,-10970
2026-03-19,-10433
2026-03-20,-10756
2026-03-23,-10384
2026-03-24,-11225
2026-03-25,-11452
2026-03-26,-12018
2026-03-27,-12626
2026-03-30,-12262
2026-03-31,-11234
2026-04-02,-10827
2026-04-03,-10520
2026-04-07,-10986
2026-04-08,-10944
2026-04-09,-11455
2026-04-10,-11864
2026-04-13,-10817
2026-04-14,-12512
2026-04-15,-12301
2026-04-16,-13435
2026-04-17,-13409
2026-04-20,-13308
2026-04-21,-13688
2026-04-23,-14141
2026-04-24,-14076
2026-04-27,-13889
2026-04-28,-15090
2026-04-29,-15140
2026-04-30,-16430
2026-05-06,-15893
2026-05-07,-16558
2026-05-08,-16308
2026-05-11,-16069
2026-05-12,-15510
2026-05-13,-15630
2026-05-14,-15320
2026-05-18,-16224
2026-05-19,-16115
2026-05-20,-15239
2026-05-21,-15560
2026-05-22,-15740
2026-05-25,-16302
2026-05-26,-15415
2026-05-27,-16082
2026-05-28,-16096
2026-05-29,-16079
2026-06-01,-16524
2026-06-02,-16238
2026-06-03,-15548
2026-06-04,-15176
2026-06-08,-15888
2026-06-09,-14634
2026-06-10,-14541
2026-06-11,-14728
2026-06-12,-16917
2026-06-15,-20260
2026-06-16,-18942
2026-06-17,-20995
2026-06-18,-19987
2026-06-22,-20169
2026-06-23,-20269
2026-06-24,-19620
2026-06-25,-20974
2026-06-26,-20561
2026-06-29,-20473
2026-06-30,-20983
2026-07-01,-20618
2026-07-02,-21220
2026-07-03,-20550
2026-07-06,-20105
2026-07-07,-20157
2026-07-08,-19970
2026-07-09,-18192
2026-07-10,-18121
2026-07-14,-19716
2026-07-15,-19901
2026-07-16,-19942
