company,long,long_chg,short,short_chg,volume,volume_chg
中信期货,2992,-80,4307,-54,2416,123
中泰期货,2693,46,1302,-12,366,143
国泰君安,1999,299,3719,77,1396,331
中信建投,1824,30,2107,-20,1012,417
中粮期货,1410,-3,2251,97,324,73
南华期货,1396,-22,2224,67,1755,827
光大期货,1255,204,1827,209,1097,45
海通期货,1243,49,737,59,1064,504
东证期货,1078,82,2079,80,2250,82
国富期货,1023,9,0,0,264,172
华泰期货,1009,-64,1736,-148,784,292
银河期货,911,1,737,13,398,122
永安期货,903,10,1751,76,0,0
方正中期,902,40,0,0,796,79
国信期货,888,-30,0,0,0,0
广发期货,880,-19,0,0,302,104
徽商期货,832,-48,0,0,487,241
中辉期货,789,28,0,0,0,0
国投期货,787,9,1141,71,0,0
招商期货,787,7,0,0,0,0
国元期货,0,0,0,0,357,178
中州期货,0,0,859,5,0,0
创元期货,0,0,1085,6,0,0
格林大华,0,0,1770,2,0,0
国海良时,0,0,497,-9,0,0
瑞达期货,0,0,884,-135,581,409
浙商期货,0,0,0,0,268,27
福能期货,0,0,0,0,289,245
金石期货,0,0,517,1,0,0
长江期货,0,0,0,0,493,223
首创京都,0,0,3351,-16,0,0
