date,net_position
2023-10-25,-4486
2023-10-26,-5150
2023-10-27,-4732
2023-10-30,-4841
2023-10-31,-4887
2023-11-01,-5104
2023-11-02,-5054
2023-11-03,-5217
2023-11-06,-5809
2023-11-07,-5429
2023-11-08,-5238
2023-11-09,-5158
2023-11-10,-5021
2023-11-13,-5396
2023-11-14,-5453
2023-11-15,-5582
2023-11-16,-5441
2023-11-17,-5827
2023-11-20,-6160
2023-11-21,-6420
2023-11-22,-6505
2023-11-23,-6507
2023-11-24,-6427
2023-11-27,-7024
2023-11-28,-7082
2023-11-29,-7228
2023-11-30,-6598
2023-12-01,-5843
2023-12-04,-5614
2023-12-05,-5935
2023-12-06,-5469
2023-12-07,-5552
2023-12-08,-5379
2023-12-11,-5991
2023-12-12,-6693
2023-12-13,-6824
2023-12-14,-7183
2023-12-15,-7438
2023-12-18,-7565
2023-12-19,-7282
2023-12-20,-6973
2023-12-21,-6972
2023-12-22,-7326
2023-12-25,-7204
2023-12-26,-6684
2023-12-27,-7065
2023-12-28,-7127
2023-12-29,-6835
2024-01-02,-7220
2024-01-03,-6949
2024-01-04,-6423
2024-01-05,-6144
2024-01-08,-5704
2024-01-09,-5605
2024-01-10,-5939
2024-01-11,-6149
2024-01-12,-5555
2024-01-15,-5396
2024-01-16,-5211
2024-01-17,-4836
2024-01-18,-4814
2024-01-19,-4440
2024-01-22,-4887
2024-01-23,-4981
2024-01-24,-4770
2024-01-25,-4236
2024-01-26,-4053
2024-01-29,-4795
2024-01-30,-4708
2024-01-31,-4766
2024-02-01,-3744
2024-02-02,-3130
2024-02-05,-3422
2024-02-06,-4175
2024-02-07,-3807
2024-02-08,-3579
2024-02-19,-3443
2024-02-20,-3338
2024-02-21,-3130
2024-02-22,-3659
2024-02-23,-4101
2024-02-26,-4535
2024-02-27,-4356
2024-02-28,-3742
2024-02-29,-3568
2024-03-01,-4094
2024-03-04,-5551
2024-03-05,-3736
2024-03-06,-4911
2024-03-07,-6356
2024-03-08,-7314
2024-03-11,-6938
2024-03-12,-6179
2024-03-13,-5657
2024-03-14,-5135
2024-03-15,-3478
2024-03-18,-4583
2024-03-19,-5032
2024-03-20,-4740
2024-03-21,-6255
2024-03-22,-4306
2024-03-25,-5017
2024-03-26,-5725
2024-03-27,-4324
2024-03-28,-5107
2024-03-29,-4474
2024-04-01,-4294
2024-04-02,-4459
2024-04-03,-4711
2024-04-08,-5882
2024-04-09,-6035
2024-04-10,-5298
2024-04-11,-5047
2024-04-12,-4790
