company,long,long_chg,short,short_chg,volume,volume_chg
国泰君安,2839,136,3820,428,2748,-467
中信建投,2308,-16,0,0,1240,-511
华泰期货,2196,-146,1490,-10,1262,-290
华西期货,1897,38,0,0,0,0
中泰期货,1887,7,1512,0,831,-329
中信期货,1653,133,2121,109,1868,-689
永安期货,1605,-60,2106,52,786,-629
东证期货,1391,41,2048,-161,2148,-481
广发期货,1325,-3,646,3,564,-419
方正中期,1283,-55,1002,-35,1308,-352
华联期货,1122,128,0,0,0,0
海通期货,1115,-9,0,0,749,-176
东方财富,1105,-50,0,0,983,-623
银河期货,930,-52,1724,-2,740,-81
光大期货,892,33,1296,-57,654,-142
南华期货,777,3,653,-32,575,-167
中辉期货,764,22,0,0,0,0
平安期货,729,-41,0,0,0,0
创元期货,674,20,0,0,0,0
国联期货,655,30,0,0,0,0
东吴期货,0,0,825,-24,0,0
华闻期货,0,0,0,0,1272,-439
兴证期货,0,0,675,80,609,82
中州期货,0,0,1424,12,0,0
中粮期货,0,0,3052,23,0,0
宏源期货,0,0,659,55,0,0
国金期货,0,0,0,0,862,4
国富期货,0,0,0,0,1004,64
国投安信,0,0,839,12,563,-366
国元期货,0,0,701,-4,0,0
国信期货,0,0,0,0,695,3
首创京都,0,0,673,8,0,0
齐盛期货,0,0,662,1,0,0
