company,long,long_chg,short,short_chg,volume,volume_chg
银河期货,2888,-65,2530,154,1559,-370
中信期货,2726,-24,3540,68,2444,-1405
华泰期货,2483,30,2620,149,5281,-708
中信建投,2447,-160,1831,108,5910,-607
海通期货,2204,-183,1790,-97,2246,-430
国泰君安,2150,-71,2538,-274,3453,-985
浙商期货,1846,62,1628,16,6142,-1789
东证期货,1795,-359,1722,-169,3008,-1521
新湖期货,1767,2,1326,3,0,0
永安期货,1637,109,1411,18,0,0
广发期货,1535,-41,1351,80,919,-155
东方财富,1493,29,0,0,2022,-853
招商期货,1419,31,1797,33,0,0
南华期货,1332,2,2309,-31,923,-174
中泰期货,1317,110,2067,87,1797,-475
国投安信,1315,65,2243,531,1384,-916
方正中期,1254,-12,0,0,1938,-345
长江期货,1121,-1,0,0,0,0
徽商期货,1086,-143,0,0,1319,-347
平安期货,1024,25,0,0,0,0
东吴期货,0,0,0,0,894,-719
国元期货,0,0,1098,49,894,-220
光大期货,0,0,0,0,1186,-252
中州期货,0,0,1200,49,0,0
中粮期货,0,0,4866,23,0,0
中原期货,0,0,0,0,1177,12
国富期货,0,0,0,0,1617,-113
瑞达期货,0,0,1815,19,0,0
首创京都,0,0,1178,-31,0,0
