company,long,long_chg,short,short_chg,volume,volume_chg
中信建投,2295,360,1657,328,862,-140
中信期货,1972,-11,2528,73,432,-205
方正中期,1958,-16,1335,-29,387,-213
国泰君安,1886,14,1756,-8,438,-133
东证期货,1878,68,1835,91,1333,-1102
国投安信,1817,308,1492,60,588,350
东方财富,1674,-23,0,0,355,-32
华泰期货,1651,-7,1535,-37,336,-147
银河期货,1629,-30,0,0,272,57
海通期货,1496,-5,1141,-1,0,0
浙商期货,1368,53,1364,5,176,-79
新湖期货,1263,12,1144,1,0,0
中泰期货,1118,-25,1901,-24,293,-170
永安期货,1070,-5,2650,-23,0,0
平安期货,1062,128,0,0,219,120
广发期货,1049,15,1081,-99,432,56
南华期货,894,32,1500,-12,0,0
中辉期货,867,166,0,0,245,146
招商期货,799,11,1100,-2,271,-142
金瑞期货,723,3,0,0,0,0
中原期货,0,0,0,0,170,0
国富期货,0,0,0,0,331,172
华闻期货,0,0,0,0,160,-18
中粮期货,0,0,2624,-3,0,0
中财期货,0,0,0,0,205,64
格林大华,0,0,1352,63,0,0
瑞达期货,0,0,1408,44,0,0
美尔雅期货,0,0,893,192,239,105
紫金天风,0,0,872,61,0,0
