company,long,long_chg,short,short_chg,volume,volume_chg
国泰君安（代客）,2223,34,2806,-15,837,21
中信期货（代客）,1873,47,1662,104,1009,284
南华期货（代客）,1389,60,2102,46,570,284
中信建投（代客）,1382,-12,1494,-13,349,75
海通期货（代客）,1159,-9,1064,-11,242,56
方正中期（代客）,1092,-141,799,-139,362,105
招商期货（代客）,797,109,1033,31,270,49
长江期货（代客）,794,11,569,9,458,28
国投安信（代客）,779,177,0,0,289,102
广发期货（代客）,763,-18,463,-9,0,0
国元期货（代客）,631,3,0,0,0,0
华泰期货（代客）,615,-10,644,-6,256,-143
五矿期货（代客）,600,-18,924,6,394,91
中泰期货（代客）,597,-10,0,0,104,17
宝城期货（代客）,553,14,0,0,0,0
国海良时（代客）,527,4,0,0,0,0
平安期货（代客）,526,-15,0,0,0,0
申银万国（代客）,474,65,0,0,108,76
物产中大（代客）,455,1,0,0,0,0
东方财富（代客）,453,6,0,0,128,56
东证期货（代客）,0,0,479,-23,760,-22
东吴期货（代客）,0,0,749,14,0,0
中州期货（代客）,0,0,588,-3,0,0
中粮期货（代客）,0,0,499,56,164,124
华西期货（代客）,0,0,0,0,245,120
信达期货（代客）,0,0,0,0,314,308
中金财富（代客）,0,0,0,0,192,147
格林大华（代客）,0,0,829,-1,0,0
瑞达期货（代客）,0,0,448,-6,0,0
永安期货（代客）,0,0,1160,-11,103,-41
银河期货（代客）,0,0,785,3,0,0
首创京都（代客）,0,0,1096,-2,0,0
