date,net_position
2025-07-09,-4945
2025-07-10,-5103
2025-07-11,-5029
2025-07-14,-4707
2025-07-15,-4695
2025-07-16,-4720
2025-07-17,-4545
2025-07-18,-4714
2025-07-21,-5596
2025-07-22,-5465
2025-07-23,-7798
2025-07-24,-7473
2025-07-25,-8403
2025-07-28,-8362
2025-07-29,-8841
2025-07-30,-8857
2025-07-31,-7433
2025-08-01,-7439
2025-08-04,-7954
2025-08-05,-8154
2025-08-06,-7781
2025-08-07,-7878
2025-08-08,-8239
2025-08-11,-8484
2025-08-12,-8784
2025-08-13,-8911
2025-08-14,-8937
2025-08-15,-9459
2025-08-18,-9280
2025-08-19,-8980
2025-08-20,-8362
2025-08-21,-8212
2025-08-22,-8193
2025-08-25,-8317
2025-08-26,-8399
2025-08-27,-8315
2025-08-28,-8394
2025-08-29,-8306
2025-09-01,-7542
2025-09-02,-7998
2025-09-03,-7934
2025-09-04,-7537
2025-09-05,-7781
2025-09-08,-8248
2025-09-09,-7495
2025-09-10,-7432
2025-09-11,-7440
2025-09-12,-7582
2025-09-15,-7743
2025-09-16,-8222
2025-09-17,-8653
2025-09-18,-8853
2025-09-19,-8069
2025-09-22,-7447
2025-09-23,-6462
2025-09-24,-6128
2025-09-25,-6366
2025-09-26,-6744
2025-09-29,-7837
2025-09-30,-7841
2025-10-09,-9381
2025-10-10,-9135
2025-10-13,-9560
2025-10-14,-7866
2025-10-15,-7016
2025-10-16,-6376
2025-10-17,-5148
2025-10-20,-1341
2025-10-21,-2842
2025-10-23,-4345
2025-10-24,-4280
2025-10-27,-5030
2025-10-28,-4099
2025-10-29,-4622
2025-10-30,-6258
2025-10-31,-6326
2025-11-03,-5117
2025-11-04,-6846
2025-11-05,-4537
2025-11-10,-6606
2025-11-11,-7208
2025-11-12,-5634
2025-11-13,-4437
2025-11-14,-4349
2025-11-17,-4313
2025-11-18,-6262
2025-11-19,-6004
2025-11-20,-2802
2025-11-21,-3361
2025-11-24,-1565
2025-11-25,-1521
2025-11-26,-2468
2025-11-27,-2985
2025-11-28,-3464
2025-12-01,-3596
2025-12-02,-3358
2025-12-03,-3455
2025-12-04,-2697
2025-12-05,-1635
2025-12-08,-2817
2025-12-09,-3724
2025-12-10,-2864
2025-12-11,-3065
2025-12-12,-3516
2025-12-15,-3337
2025-12-16,-3620
2025-12-18,-3242
2025-12-19,-2566
2025-12-22,-2671
2025-12-23,-2889
2025-12-24,-2993
