company,long,long_chg,short,short_chg,volume,volume_chg
永安期货,1926,122,484,12,244,-20
华泰期货,1099,8,532,56,304,22
广发期货,780,-59,435,27,210,30
中信期货,772,-58,2259,91,559,-496
国泰期货,651,26,842,42,480,-206
和合期货,627,67,0,0,0,0
鲁证期货,581,-7,538,42,0,0
大陆期货,553,-7,0,0,0,0
东证期货,510,175,312,36,489,132
光大期货,506,-4,0,0,262,-92
中辉期货,500,21,0,0,0,0
华鑫期货,500,4,0,0,0,0
天风期货,492,7,225,0,0,0
中州期货,472,73,343,0,0,0
海通期货,441,94,0,0,227,-423
华联期货,436,-1,0,0,0,0
一德期货,432,-12,0,0,0,0
申银万国期货,359,35,250,57,340,115
创元期货,337,11,0,0,0,0
金鹏期货,291,0,0,0,0,0
中粮期货,0,0,6066,89,147,2
东吴期货,0,0,563,17,0,0
中信建投期货,0,0,224,-1,0,0
国海良时期货,0,0,0,0,167,56
南华期货,0,0,1088,3,0,0
国富期货,0,0,0,0,381,-118
国投安信期货,0,0,985,42,0,0
中财期货,0,0,0,0,221,121
华安期货,0,0,0,0,157,-45
安粮期货,0,0,0,0,162,11
宏源期货,0,0,355,-9,0,0
格林期货,0,0,675,1,0,0
弘业期货,0,0,233,117,147,120
宝城期货,0,0,0,0,265,93
平安期货,0,0,186,7,0,0
美尔雅期货,0,0,0,0,187,-6
渤海期货,0,0,0,0,270,120
金瑞期货,0,0,0,0,334,66
银河期货,0,0,305,29,0,0
