date,net_position
2022-11-08,-3879
2022-11-11,-3884
2022-11-14,-4002
2022-11-15,-3986
2022-11-16,-4094
2022-11-17,-4161
2022-11-18,-4101
2022-11-21,-4007
2022-11-22,-4106
2022-11-23,-4454
2022-11-24,-4658
2022-11-25,-4096
2022-11-28,-3606
2022-11-29,-3409
2022-11-30,-3204
2022-12-01,-3200
2022-12-02,-3142
2022-12-05,-3269
2022-12-06,-3279
2022-12-07,-3023
2022-12-08,-2970
2022-12-09,-3015
2022-12-12,-2811
2022-12-13,-2999
2022-12-14,-3541
2022-12-15,-3614
2023-02-06,-2335
2023-02-07,-2092
2023-02-08,-2243
2023-02-09,-2317
2023-02-10,-2470
2023-02-13,-2554
2023-02-14,-2694
2023-02-15,-2737
