company,long,long_chg,short,short_chg,volume,volume_chg
南华期货,995,6,230,73,0,0
广发期货,693,32,104,81,211,49
申银万国期货,683,-92,139,-23,195,89
银河期货,655,-34,0,0,291,200
中信期货,603,90,2659,218,414,-131
神华期货,469,5,0,0,0,0
华泰期货,455,98,1177,-146,674,365
国泰期货,419,-7,347,9,284,122
国投安信期货,414,19,2920,116,161,-287
格林期货,391,-12,358,-17,0,0
方正中期期货,389,-3,129,-33,0,0
浙商期货,388,-89,107,-91,306,139
徽商期货,326,-35,0,0,175,37
永安期货,324,-9,169,-99,168,44
平安期货,304,-67,0,0,245,-39
中信建投期货,285,2,409,18,212,45
大越期货,273,5,0,0,0,0
华安期货,249,-3,0,0,0,0
瑞达期货,243,3,0,0,0,0
光大期货,233,-1,0,0,495,239
华融融达期货,0,0,127,-5,0,0
东方财富期货,0,0,297,-2,248,127
中原期货,0,0,178,2,0,0
中州期货,0,0,251,-2,0,0
一德期货,0,0,0,0,276,237
中粮期货,0,0,3150,4,0,0
五矿期货,0,0,179,5,0,0
东吴期货,0,0,0,0,259,-14
东证期货,0,0,0,0,179,104
海通期货,0,0,0,0,297,2
美尔雅期货,0,0,267,-59,224,17
鲁证期货,0,0,392,145,229,130
