company,long,long_chg,short,short_chg,volume,volume_chg
永安期货,2289,4,642,-44,320,-112
华泰期货,1950,18,1315,-30,326,-424
国泰期货,1277,-81,2893,261,870,-504
中信期货,1040,-28,3683,29,505,-500
东证期货,1013,23,817,-1,330,-155
海通期货,971,1,0,0,0,0
银河期货,913,-29,516,79,300,-176
天风期货,905,44,716,1,0,0
光大期货,905,21,0,0,0,0
鲁证期货,769,9,0,0,0,0
国投安信期货,718,18,1492,-52,240,-157
方正中期期货,699,55,0,0,230,-447
中信建投期货,680,64,0,0,415,-346
和合期货,675,61,0,0,0,0
中辉期货,643,19,0,0,0,0
混沌天成,622,1,0,0,0,0
南华期货,609,4,2087,11,239,-257
中州期货,596,-11,0,0,0,0
大陆期货,578,0,0,0,0,0
国联期货,558,3,763,36,283,56
东方财富期货,0,0,0,0,288,-418
国富期货,0,0,0,0,466,-263
国信期货,0,0,0,0,443,-459
兴证期货,0,0,439,145,477,9
五矿期货,0,0,517,7,0,0
中粮期货,0,0,6401,10,0,0
信达期货,0,0,516,0,0,0
平安期货,0,0,446,-1,0,0
格林期货,0,0,787,-6,0,0
徽商期货,0,0,0,0,273,-169
弘业期货,0,0,565,9,0,0
广发期货,0,0,987,137,245,-57
宏源期货,0,0,472,-10,0,0
瑞达期货,0,0,424,227,348,206
金瑞期货,0,0,0,0,328,-132
申银万国期货,0,0,0,0,588,-235
