company,long,long_chg,short,short_chg,volume,volume_chg
国泰君安,1862,253,1483,-29,1138,316
东证期货,1195,-175,657,-2,2231,541
永安期货,978,37,655,8,0,0
银河期货,978,61,0,0,258,68
广发期货,961,57,0,0,340,-49
中信建投,903,-8,1570,-1,489,-180
华泰期货,864,84,0,0,216,-110
中信期货,561,34,767,33,471,-142
方正中期,553,49,0,0,421,116
宝城期货,521,-573,0,0,615,507
申银万国,493,42,0,0,0,0
宏源期货,467,110,0,0,0,0
紫金天风,459,33,0,0,0,0
格林大华,453,14,2732,25,0,0
徽商期货,420,34,0,0,0,0
浙商期货,411,-197,0,0,360,242
一德期货,384,30,0,0,0,0
冠通期货,384,87,0,0,0,0
东方财富,380,39,0,0,280,-92
东航期货,379,14,0,0,0,0
中泰期货,0,0,880,-88,0,0
中州期货,0,0,707,10,268,132
中财期货,0,0,0,0,250,167
中粮期货,0,0,4434,-5,0,0
大越期货,0,0,0,0,227,222
国富期货,0,0,396,-115,220,102
国投安信,0,0,566,71,0,0
大地期货,0,0,0,0,504,446
五矿期货,0,0,302,-3,0,0
创元期货,0,0,943,-6,0,0
华西期货,0,0,633,23,0,0
南华期货,0,0,1285,54,0,0
江西瑞奇,0,0,0,0,204,88
招商期货,0,0,345,-2,0,0
广州期货,0,0,566,102,0,0
瑞达期货,0,0,979,-2,0,0
海通期货,0,0,0,0,430,-146
鑫鼎盛期货,0,0,250,0,0,0
长安期货,0,0,408,0,354,273
齐盛期货,0,0,0,0,291,137
