date,net_position
2023-05-16,-3383
2023-05-17,-3573
2023-05-18,-3500
2023-05-19,-3464
2023-05-22,-3494
2023-05-23,-3695
2023-05-24,-3799
2023-05-25,-3795
2023-05-26,-3844
2023-05-29,-3839
2023-05-30,-3778
2023-05-31,-3807
2023-06-01,-3737
2023-06-02,-3799
2023-06-05,-3792
2023-06-06,-3625
2023-06-07,-3668
2023-06-08,-3729
2023-06-09,-3566
2023-06-12,-3737
2023-06-13,-3956
2023-06-14,-3819
2023-06-15,-3873
2023-06-16,-3988
2023-06-19,-4281
2023-06-20,-4216
2023-06-21,-4279
2023-06-26,-3427
2023-06-27,-3394
2023-06-28,-3565
2023-06-29,-3629
2023-06-30,-3735
2023-07-03,-3942
2023-07-04,-3762
2023-07-05,-4150
2023-07-06,-3942
2023-07-07,-4184
2023-07-10,-3935
2023-07-11,-3953
2023-07-12,-3850
2023-07-13,-3728
2023-07-14,-3575
2023-07-17,-3845
2023-07-18,-3658
2023-07-19,-3889
2023-07-20,-4066
2023-07-21,-3819
2023-07-24,-3585
2023-07-25,-3781
2023-07-26,-3470
2023-07-27,-4104
2023-07-28,-4243
2023-07-31,-5462
2023-08-01,-5374
2023-08-02,-5237
2023-08-03,-6177
2023-08-04,-5591
2023-08-07,-5670
2023-08-08,-5637
2023-08-09,-5933
2023-08-10,-6632
2023-08-11,-6894
2023-08-14,-6612
2023-08-15,-6011
2023-08-16,-6113
2023-08-17,-5684
2023-08-18,-5003
2023-08-21,-4702
2023-08-22,-6021
2023-08-23,-6009
2023-08-24,-5573
2023-08-25,-4864
2023-08-28,-4840
2023-08-29,-4082
2023-08-30,-4564
2023-08-31,-4668
2023-09-01,-5007
2023-09-04,-6345
2023-09-05,-7303
2023-09-06,-6621
2023-09-07,-6377
2023-09-08,-4516
2023-09-11,-4416
2023-09-12,-5445
2023-09-13,-5232
2023-09-14,-5341
2023-09-15,-5975
2023-09-18,-5619
2023-09-19,-5446
2023-09-20,-5485
2023-09-21,-4874
2023-09-22,-4559
2023-09-25,-4458
2023-09-26,-4898
2023-09-27,-5991
2023-09-28,-6344
2023-10-09,-5644
2023-10-10,-5673
2023-10-11,-5456
2023-10-12,-5648
2023-10-13,-5291
2023-10-16,-5116
2023-10-17,-5140
