company,long,long_chg,short,short_chg,volume,volume_chg
国泰期货,1167,-11,819,78,827,347
华泰期货,967,8,567,44,808,84
永安期货,858,1,2441,-224,497,200
中信期货,676,35,1377,34,1079,527
中粮期货,673,-62,2944,-140,406,210
东方财富期货,669,-122,362,-40,994,599
国信期货,628,105,413,31,728,329
东证期货,535,165,573,157,888,275
银河期货,513,24,310,9,341,99
海通期货,502,86,0,0,652,278
方正中期期货,466,18,0,0,594,283
浙商期货,453,-30,0,0,0,0
国投安信期货,452,31,2295,324,607,412
广发期货,445,-46,636,25,0,0
光大期货,438,-26,285,9,313,204
平安期货,369,-62,0,0,371,168
东吴期货,368,50,264,37,483,386
中信建投期货,344,-9,396,-10,403,-306
东亚期货,343,-66,0,0,0,0
申银万国期货,333,-1,0,0,0,0
华闻期货,0,0,506,140,492,45
五矿期货,0,0,0,0,387,259
东海期货,0,0,409,349,503,461
国贸期货,0,0,502,-5,0,0
建信期货,0,0,270,-30,0,0
宏源期货,0,0,250,47,0,0
徽商期货,0,0,0,0,364,179
鲁证期货,0,0,249,45,0,0
