company,long,long_chg,short,short_chg,volume,volume_chg
东方财富,2165,-181,589,111,1584,415
国泰君安,1953,-95,1769,-326,2349,869
中信期货,1804,-270,3094,-150,1822,500
银河期货,1566,-34,1545,18,862,-292
广发期货,1236,-56,739,130,1070,325
中信建投,1179,-17,1294,183,1432,350
华泰期货,1167,140,2869,179,1313,392
方正中期,1076,-95,507,-65,1160,196
平安期货,1036,47,0,0,494,146
中泰期货,929,-73,1055,22,781,301
徽商期货,890,-109,534,56,1089,383
东证期货,831,16,1283,-136,2020,498
海通期货,760,-56,899,-45,1903,824
光大期货,705,-33,0,0,621,184
国投安信,679,48,0,0,622,189
南华期货,678,6,648,-1,613,166
招商期货,652,-43,518,-70,0,0
永安期货,608,-96,1012,-190,806,125
中辉期货,604,-115,0,0,0,0
浙商期货,594,33,0,0,1122,686
中粮期货,0,0,3224,-25,0,0
华闻期货,0,0,0,0,650,76
国金期货,0,0,552,99,0,0
国富期货,0,0,0,0,1294,506
新湖期货,0,0,514,-108,0,0
格林大华,0,0,710,12,0,0
首创京都,0,0,1340,13,0,0
