company,long,long_chg,short,short_chg,volume,volume_chg
国泰君安,2819,117,3043,39,708,312
永安期货,2351,-34,2902,79,127,-235
中信期货,2293,49,3125,33,216,2
海通期货,1570,-1,1000,1,0,0
方正中期,1525,61,1262,-81,318,184
中信建投,1312,39,938,-1,152,-53
长江期货,1289,33,1152,9,200,-14
招商期货,1213,-27,1344,-28,183,-86
中粮期货,969,17,2026,0,0,0
南华期货,891,-8,1745,2,0,0
中财期货,801,5,0,0,115,48
广发期货,790,-7,851,-5,0,0
东证期货,729,26,0,0,1398,102
银河期货,678,-20,0,0,159,78
中泰期货,675,10,1150,308,484,383
华泰期货,636,60,1118,93,347,109
中州期货,600,18,1177,-7,0,0
瑞达期货,558,-14,0,0,0,0
中原期货,509,-6,0,0,0,0
东方财富,499,-5,0,0,155,82
华闻期货,0,0,0,0,180,-5
光大期货,0,0,515,5,215,112
东吴期货,0,0,547,3,0,0
国元期货,0,0,0,0,218,83
徽商期货,0,0,0,0,96,20
国投期货,0,0,1668,-7,128,83
国海良时,0,0,580,-3,0,0
格林大华,0,0,3890,47,0,0
民生期货,0,0,0,0,112,67
财达期货,0,0,0,0,122,92
首创京都,0,0,873,-1,0,0
