company,long,long_chg,short,short_chg,volume,volume_chg
国泰君安,7838,572,10471,332,4532,439
中信建投,6035,-275,2169,16,2285,445
东证期货,5278,676,3640,321,5633,-301
中信期货,4574,299,7124,488,5429,611
方正中期,3746,237,2736,353,1778,-298
长江期货,2958,-25,3396,47,2976,-73
海通期货,2811,74,2452,197,2384,-559
招商期货,2672,139,2642,16,2025,308
中财期货,2376,46,0,0,0,0
永安期货,2305,290,10268,633,1493,424
银河期货,2027,110,1493,82,2268,239
中泰期货,1872,318,3018,103,1151,300
国投期货,1551,110,3420,-31,0,0
南华期货,1488,217,2716,280,1699,1469
广发期货,1398,175,940,-44,923,-70
中粮期货,1365,23,3130,178,0,0
华泰期货,1060,-127,1245,-33,1408,-26
东方财富,941,177,0,0,1486,278
平安期货,888,99,0,0,726,-116
五矿期货,864,51,0,0,0,0
创元期货,0,0,0,0,1053,700
东吴期货,0,0,784,4,1507,-53
中州期货,0,0,1074,-32,0,0
国海良时,0,0,1194,2,0,0
宝城期货,0,0,0,0,727,-250
格林大华,0,0,5275,38,0,0
徽商期货,0,0,0,0,743,-26
