company,long,long_chg,short,short_chg,volume,volume_chg
国泰君安,2684,-155,3394,-426,2741,-7
中信建投,2280,-28,0,0,1079,-161
华泰期货,2228,32,1551,61,929,-333
华西期货,1892,-5,0,0,0,0
永安期货,1734,129,2100,-6,713,-73
中泰期货,1636,-251,1470,-42,1017,186
中信期货,1555,-98,2078,-43,1679,-189
广发期货,1294,-31,616,-30,0,0
东证期货,1276,-115,2044,-4,1889,-259
方正中期,1171,-112,1073,71,1011,-297
海通期货,1062,-53,0,0,698,-51
华联期货,925,-197,0,0,621,152
东方财富,922,-183,0,0,1154,171
银河期货,904,-26,1663,-61,665,-75
光大期货,870,-22,1250,-46,716,62
中辉期货,762,-2,0,0,0,0
南华期货,736,-41,636,-17,598,23
创元期货,696,22,0,0,0,0
平安期货,665,-64,0,0,0,0
国联期货,655,0,0,0,0,0
东吴期货,0,0,835,10,0,0
一德期货,0,0,747,164,0,0
华闻期货,0,0,0,0,1196,-76
兴证期货,0,0,0,0,561,-48
中州期货,0,0,1429,5,0,0
中粮期货,0,0,3057,5,0,0
国金期货,0,0,0,0,742,-120
国元期货,0,0,690,-11,0,0
国富期货,0,0,0,0,887,-117
国投安信,0,0,897,58,575,12
徽商期货,0,0,0,0,511,26
新湖期货,0,0,593,-19,0,0
首创京都,0,0,715,42,0,0
齐盛期货,0,0,653,-9,0,0
