company,long,long_chg,short,short_chg,volume,volume_chg
中信期货,1962,294,1851,64,1740,232
国泰君安,1644,-100,2749,23,2009,470
东证期货,1489,204,1182,312,2746,810
宝城期货,1386,13,0,0,0,0
银河期货,1330,-71,941,-21,2692,773
中泰期货,1285,249,1830,75,2068,852
广发期货,1276,93,872,76,1731,283
海通期货,978,240,523,203,1139,633
永安期货,912,-6,1164,-34,400,13
徽商期货,874,24,0,0,751,318
方正中期,826,-41,0,0,555,-72
华泰期货,804,-147,1176,-30,985,383
平安期货,727,16,0,0,0,0
齐盛期货,724,33,0,0,0,0
浙商期货,690,87,0,0,0,0
中粮期货,685,48,5227,-97,0,0
大地期货,638,-2,0,0,0,0
国投安信,608,105,787,28,403,265
美尔雅期货,606,-88,0,0,0,0
宏源期货,600,-25,0,0,0,0
东方财富,0,0,0,0,667,225
国富期货,0,0,948,14,552,98
中原期货,0,0,0,0,589,274
中信建投,0,0,1213,1,602,-181
光大期货,0,0,0,0,578,199
创元期货,0,0,806,-18,0,0
华西期货,0,0,1066,69,0,0
南华期货,0,0,1334,-32,0,0
国元期货,0,0,0,0,473,158
招商期货,0,0,526,68,0,0
民生期货,0,0,0,0,501,311
格林大华,0,0,2269,38,0,0
瑞达期货,0,0,1872,143,647,434
首创京都,0,0,1057,-98,0,0
