date,net_position
2021-08-23,-2996
2021-08-24,-3074
2021-08-25,-3212
2021-08-26,-3216
2021-08-27,-3293
2021-08-30,-3469
2021-08-31,-3733
2021-09-01,-3778
2021-09-02,-3706
2021-09-03,-3958
2021-09-06,-4015
2021-09-07,-4118
2021-09-08,-4301
2021-09-09,-4227
2021-09-10,-4800
2021-09-13,-4798
2021-09-14,-4918
2021-09-15,-4671
2021-09-16,-4767
2021-09-17,-4938
2021-09-22,-4965
2021-09-23,-4906
2021-09-24,-5049
2021-09-27,-5158
2021-09-28,-5437
2021-09-29,-5394
2021-09-30,-5648
2021-10-08,-5736
2021-10-11,-5861
2021-10-12,-5363
2021-10-13,-5553
2021-10-14,-5779
2021-10-15,-5908
2021-10-18,-5901
2021-10-19,-5771
2021-10-20,-5804
2021-10-21,-5845
2021-10-22,-5919
2021-10-25,-5458
2021-10-26,-5432
2021-10-27,-5510
2021-10-28,-5304
2021-10-29,-5466
2021-11-01,-5388
2021-11-02,-5330
2021-11-03,-5399
2021-11-04,-5440
2021-11-05,-5358
2021-11-08,-5511
2021-11-09,-5347
2021-11-10,-5651
2021-11-11,-5820
2021-11-12,-5971
2021-11-15,-5899
2021-11-16,-5963
2021-11-17,-6076
2021-11-18,-6234
2021-11-19,-6442
2021-11-22,-6679
2021-11-23,-6738
2021-11-24,-6784
2021-11-25,-7238
2021-11-26,-7153
2021-11-29,-7385
2021-11-30,-7414
2021-12-01,-7520
2021-12-02,-7544
2021-12-03,-7722
2021-12-06,-7189
2021-12-07,-7179
2021-12-08,-7347
2021-12-09,-7576
2021-12-10,-7436
2021-12-13,-7274
2021-12-14,-7465
2021-12-15,-7478
2021-12-16,-7404
2021-12-17,-7408
2021-12-20,-7643
2021-12-21,-7659
2021-12-22,-7747
2021-12-23,-7808
2021-12-24,-7945
2021-12-27,-7746
2021-12-28,-7732
2021-12-29,-7639
2021-12-30,-7416
2021-12-31,-7458
2022-01-04,-7417
2022-01-05,-7502
2022-01-06,-7871
2022-01-07,-8056
2022-01-10,-7564
2022-01-11,-8163
2022-01-12,-8124
2022-01-13,-7602
2022-01-14,-8240
2022-01-17,-8137
2022-01-18,-8088
2022-01-19,-7932
2022-01-20,-8294
2022-01-21,-8236
2022-01-24,-8383
2022-01-25,-8148
2022-01-26,-8418
2022-01-27,-9065
2022-01-28,-9324
2022-02-07,-9350
2022-02-08,-11364
2022-02-09,-11974
2022-02-10,-12371
2022-02-11,-12394
2022-02-14,-11764
2022-02-15,-11447
2022-02-16,-11351
2022-02-17,-11085
2022-02-18,-11274
2022-02-21,-10512
2022-02-22,-10831
2022-02-23,-10921
2022-02-24,-10999
2022-02-25,-10826
2022-02-28,-11548
2022-03-01,-10126
2022-03-02,-10081
2022-03-03,-9824
2022-03-04,-10459
2022-03-07,-10166
2022-03-08,-9460
2022-03-09,-9891
2022-03-10,-9745
2022-03-11,-10057
2022-03-14,-10315
2022-03-15,-10475
2022-03-16,-10511
2022-03-17,-9576
2022-03-18,-10186
2022-03-21,-10118
2022-03-22,-9368
2022-03-23,-8867
2022-03-24,-8762
2022-03-25,-8555
2022-03-28,-8806
2022-03-29,-8906
2022-03-30,-8498
2022-03-31,-10063
2022-04-01,-9238
2022-04-06,-9084
2022-04-07,-9125
2022-04-08,-8847
2022-04-11,-7725
2022-04-12,-7414
2022-04-13,-7184
2022-04-14,-6880
2022-04-15,-6597
2022-04-18,-6950
2022-04-19,-6604
