company,long,long_chg,short,short_chg,volume,volume_chg
中信期货,9766,350,11022,189,17331,-1957
国泰君安,9010,288,19190,482,15280,-462
银河期货,6671,539,5221,366,5749,-965
中信建投,6423,-180,3515,-477,5787,-760
东证期货,5795,-292,11953,872,10758,380
东方财富,5387,323,0,0,3248,-97
方正中期,5098,286,0,0,3091,-632
广发期货,4762,694,2798,470,3384,-447
中泰期货,4619,234,4771,225,4191,-410
光大期货,3935,143,2454,88,3673,-27
徽商期货,3887,113,0,0,2512,-54
华泰期货,3730,167,4054,11,1652,-412
海通期货,3641,294,2677,335,3597,-216
永安期货,3624,91,7569,452,1749,61
招商期货,2946,-360,2931,-576,2636,-333
平安期货,2762,53,0,0,0,0
中粮期货,2686,46,2947,3,0,0
宏源期货,2574,53,2311,120,0,0
申银万国,2526,54,0,0,0,0
东吴期货,2430,65,3400,67,1544,-676
中州期货,0,0,3048,-14,0,0
创元期货,0,0,2596,32,0,0
国联期货,0,0,0,0,1608,495
国投期货,0,0,4864,376,1614,618
南华期货,0,0,3943,403,7382,61
格林大华,0,0,5197,21,0,0
长江期货,0,0,0,0,1697,998
