company,long,long_chg,short,short_chg,volume,volume_chg
永安期货,2165,-65,727,16,503,252
华泰期货,1432,-4,796,43,479,41
国泰期货,1205,98,2053,113,1157,-89
东证期货,922,73,398,7,682,22
广发期货,861,54,691,10,326,100
国投安信期货,796,1,1952,-1,0,0
中信期货,790,-53,2993,-9,660,106
海通期货,779,196,0,0,478,232
天风期货,776,29,0,0,0,0
鲁证期货,736,-187,571,53,670,347
银河期货,683,11,0,0,389,153
方正中期期货,662,81,0,0,384,96
中信建投期货,647,2,449,-8,438,36
光大期货,636,5,0,0,0,0
中辉期货,576,29,0,0,290,161
和合期货,572,2,0,0,0,0
中州期货,561,34,0,0,0,0
申银万国期货,553,178,458,165,455,103
大陆期货,514,-48,0,0,0,0
国信期货,507,24,0,0,315,120
东航期货,0,0,564,-17,0,0
东海期货,0,0,350,-1,0,0
东方财富期货,0,0,0,0,288,20
国富期货,0,0,0,0,461,-73
信达期货,0,0,522,3,0,0
中粮期货,0,0,6307,23,0,0
南华期货,0,0,1668,10,0,0
先锋期货,0,0,342,2,0,0
国联期货,0,0,588,70,0,0
格林期货,0,0,660,2,0,0
宏源期货,0,0,507,-15,0,0
宝城期货,0,0,0,0,311,181
渤海期货,0,0,0,0,380,154
混沌天成,0,0,0,0,365,312
金瑞期货,0,0,0,0,311,111
美尔雅期货,0,0,517,25,0,0
