date,net_position
2025-07-03,-2477
2025-07-04,-2248
2025-07-07,-2369
2025-07-08,-2282
2025-07-09,-2448
2025-07-10,-2345
2025-07-11,-2558
2025-07-14,-2461
2025-07-15,-2446
2025-07-16,-2573
2025-07-17,-2667
2025-07-18,-2674
2025-07-21,-2316
2025-07-22,-2338
2025-07-23,-2478
2025-07-24,-2620
2025-07-25,-2732
2025-07-28,-3233
2025-07-29,-3282
2025-07-30,-3386
2025-07-31,-3446
2025-08-01,-3514
2025-08-04,-3535
2025-08-05,-3549
2025-08-06,-3554
2025-08-07,-3406
2025-08-08,-3431
2025-08-11,-3387
2025-08-12,-3639
2025-08-13,-3745
2025-08-14,-3812
2025-08-15,-3916
2025-08-18,-3621
2025-08-19,-3302
2025-08-20,-3269
2025-08-21,-3252
2025-08-22,-3556
2025-08-25,-3897
2025-08-26,-3595
2025-08-27,-3589
2025-08-28,-3687
2025-08-29,-3936
2025-09-01,-4112
2025-09-02,-4422
2025-09-03,-4297
2025-09-04,-4470
2025-09-05,-4349
2025-09-08,-4787
2025-09-09,-4551
2025-09-10,-4695
2025-09-11,-4804
2025-09-12,-5141
2025-09-15,-5367
2025-09-16,-5761
2025-09-17,-5572
2025-09-18,-5856
2025-09-19,-6572
2025-09-22,-6164
2025-09-23,-6047
2025-09-24,-5626
2025-09-25,-5554
2025-09-26,-5964
2025-09-29,-6398
2025-09-30,-6057
2025-10-09,-6579
2025-10-10,-6826
2025-10-13,-7809
2025-10-14,-7552
2025-10-15,-6579
2025-10-16,-6759
2025-10-17,-7311
2025-10-20,-8490
2025-10-21,-8314
2025-10-23,-8866
2025-10-24,-7732
2025-10-27,-7759
2025-10-28,-8013
2025-10-29,-7342
2025-10-30,-6739
2025-10-31,-6912
2025-11-03,-6894
2025-11-04,-8669
2025-11-05,-8192
2025-11-06,-7931
2025-11-10,-8686
2025-11-11,-9425
2025-11-12,-9422
2025-11-13,-9592
2025-11-14,-10911
2025-11-17,-9719
2025-11-18,-10138
2025-11-19,-10363
2025-11-20,-9392
2025-11-21,-9303
2025-11-24,-9710
2025-11-25,-10125
2025-11-26,-12063
2025-11-27,-12198
2025-11-28,-12364
2025-12-01,-10773
2025-12-02,-11099
2025-12-03,-10169
2025-12-04,-12205
2025-12-05,-11081
2025-12-08,-9769
2025-12-09,-11224
2025-12-10,-12333
2025-12-11,-10703
2025-12-12,-10076
2025-12-15,-11222
2025-12-16,-10072
2025-12-18,-12734
2025-12-19,-12217
2025-12-22,-12410
2025-12-23,-12043
2025-12-24,-12419
2025-12-25,-13524
2025-12-26,-15988
2025-12-29,-14883
2025-12-30,-12483
2025-12-31,-14427
2026-01-05,-14545
2026-01-06,-10865
2026-01-07,-11386
2026-01-08,-10813
2026-01-09,-10111
2026-01-12,-11257
2026-01-13,-9040
2026-01-14,-9254
2026-01-15,-10370
2026-01-16,-9540
2026-01-19,-9913
2026-01-20,-9013
2026-01-21,-8724
2026-01-22,-9761
2026-01-23,-9663
2026-01-26,-9182
2026-01-29,-6858
2026-01-30,-6072
2026-02-02,-4800
2026-02-04,-6104
2026-02-05,-5362
2026-02-06,-4747
2026-02-09,-4882
2026-02-10,-4463
2026-02-11,-4694
2026-02-12,-5239
2026-02-13,-4796
2026-02-24,-4632
2026-02-25,-5107
