company,long,long_chg,short,short_chg,volume,volume_chg
国泰君安,14923,248,22153,-2690,40416,-8055
中信期货,12570,54,16410,-2143,38229,-7829
东证期货,10483,-1188,9296,-1541,25869,-5752
银河期货,7301,-260,6728,-32,12888,-3351
中信建投,7180,-540,5627,1068,11466,-6228
东方财富,6119,233,0,0,12000,-1249
广发期货,5925,-1615,5369,-1350,9831,-9208
中泰期货,5535,83,8020,-298,11549,-3262
永安期货,5177,-382,9799,357,0,0
方正中期,5105,-85,2621,535,7032,-1832
华泰期货,4621,-971,6068,-791,10420,-7977
中粮期货,4559,423,5463,-307,0,0
南华期货,4194,-98,3277,335,9667,-3177
光大期货,3716,-295,0,0,5666,-2322
兴证期货,3571,-126,0,0,0,0
徽商期货,3470,-161,2557,-44,5547,-2967
海通期货,2893,-420,2793,-664,7892,-3944
平安期货,2865,-25,0,0,0,0
东吴期货,2847,-90,3405,122,4668,-2301
华闻期货,2767,-881,0,0,6838,-3262
中州期货,0,0,2398,-50,0,0
一德期货,0,0,3391,-183,0,0
国信期货,0,0,0,0,4782,-1220
国投期货,0,0,5414,-105,4550,-1637
国联期货,0,0,0,0,4306,-1115
国海良时,0,0,3577,296,0,0
招商期货,0,0,0,0,4322,-1054
格林大华,0,0,8418,37,0,0
