date,net_position
2026-03-17,-6634
2026-03-18,-6708
2026-03-19,-6836
2026-03-20,-7257
2026-03-23,-7150
2026-03-24,-7685
2026-03-25,-8425
2026-03-26,-8234
2026-03-27,-8199
2026-03-30,-8177
2026-03-31,-8410
2026-04-01,-8333
2026-04-02,-9393
2026-04-03,-9508
2026-04-07,-10149
2026-04-08,-10388
2026-04-09,-9952
2026-04-10,-10458
2026-04-13,-11163
2026-04-14,-12116
2026-04-15,-11938
2026-04-16,-11611
2026-04-17,-12871
2026-04-20,-13313
2026-04-21,-13463
2026-04-22,-537
2026-04-23,-13909
2026-04-24,-14061
2026-04-27,-14242
2026-04-28,-14703
2026-04-29,-15792
2026-04-30,-17531
2026-05-06,-17503
2026-05-07,-17834
2026-05-08,-17686
2026-05-11,-19326
2026-05-12,-18971
2026-05-13,-19426
2026-05-14,-18448
2026-05-18,-18020
2026-05-19,-18650
2026-05-20,-18266
2026-05-21,-18741
2026-05-22,-19329
2026-05-25,-18905
2026-05-26,-18031
2026-05-27,-18029
2026-05-28,-17868
2026-05-29,-17856
2026-06-01,-18100
2026-06-02,-18002
2026-06-03,-18577
2026-06-04,-19004
2026-06-08,-18345
2026-06-09,-19230
2026-06-10,-19715
2026-06-11,-19221
2026-06-12,-20932
2026-06-15,-21675
2026-06-16,-22850
2026-06-17,-21296
2026-06-18,-21117
2026-06-22,-21144
2026-06-23,-22305
2026-06-24,-23368
2026-06-25,-23248
2026-06-26,-23514
2026-06-29,-24554
2026-06-30,-25201
2026-07-01,-25299
2026-07-02,-25217
2026-07-03,-25216
2026-07-06,-27097
2026-07-07,-26200
2026-07-08,-25286
2026-07-09,-23952
2026-07-10,-22516
2026-07-14,-24372
2026-07-15,-23633
2026-07-16,-23458
