date,net_position
2023-03-27,-2293
2023-03-28,-1948
2023-03-29,-1912
2023-03-30,-2182
2023-03-31,-2364
2023-04-03,-1956
2023-04-04,-1902
2023-04-06,-2357
2023-04-07,-2141
2023-04-10,-2463
2023-04-11,-2599
2023-04-12,-2396
2023-04-13,-909
2023-04-14,-470
2023-04-17,-1118
2023-04-18,-1219
2023-04-19,-2309
2023-04-20,-2062
2023-04-21,-2391
2023-04-24,-1967
2023-04-25,-880
2023-04-26,-948
2023-04-27,-953
2023-04-28,-662
2023-05-04,-1011
2023-05-05,-1629
2023-05-08,-1607
2023-05-09,-1392
2023-05-10,-735
2023-05-11,-1640
2023-05-12,-1351
2023-05-15,-1480
2023-05-16,-3026
2023-05-17,-2565
2023-05-18,-2170
2023-05-19,-1438
2023-05-22,-2072
2023-05-23,-2131
2023-05-24,-2044
2023-05-25,-2247
2023-05-26,-2622
2023-05-29,-2568
2023-05-30,-2358
2023-05-31,-2478
2023-06-01,-2832
2023-06-02,-2967
2023-06-05,-2648
