company,long,long_chg,short,short_chg,volume,volume_chg
中信期货,947,55,734,25,104,-132
新湖期货,527,173,0,0,177,157
银河期货,384,27,0,0,81,23
国信期货,355,-13,0,0,0,0
申银万国期货,346,6,0,0,0,0
华泰期货,339,0,442,23,105,-103
国泰期货,333,18,186,-36,182,102
招商期货,306,2,0,0,0,0
方正中期期货,295,28,268,0,118,51
广发期货,286,-1,0,0,62,20
东吴期货,279,2,100,21,59,39
东证期货,277,9,0,0,0,0
国投安信期货,248,22,2281,81,153,14
东方财富期货,248,3,154,53,96,16
浙商期货,213,15,0,0,0,0
平安期货,201,-2,0,0,0,0
永安期货,200,10,835,69,93,-32
南华期货,187,12,195,0,0,0
瑞达期货,173,-10,0,0,0,0
格林期货,165,8,265,1,0,0
中信建投期货,0,0,126,11,61,17
天鸿期货,0,0,0,0,73,15
宏源期货,0,0,0,0,87,11
华闻期货,0,0,0,0,67,59
中辉期货,0,0,199,4,0,0
信达期货,0,0,0,0,46,18
光大期货,0,0,142,3,104,-26
华融融达期货,0,0,124,25,0,0
中州期货,0,0,420,-13,0,0
中粮期货,0,0,1278,7,0,0
大越期货,0,0,101,-1,0,0
徽商期货,0,0,0,0,50,10
海证期货,0,0,0,0,45,38
美尔雅期货,0,0,322,24,0,0
首创期货,0,0,886,0,0,0
鲁证期货,0,0,104,47,60,33
