company,long,long_chg,short,short_chg,volume,volume_chg
中信期货,7756,40,10638,-112,3202,-1103
国泰君安,7672,344,13553,723,2915,-376
方正中期,5994,294,3752,-15,781,-465
东方财富,4522,186,0,0,959,-389
中信建投,4296,131,6269,-2,791,-779
长江期货,3208,6,3123,7,489,116
海通期货,3186,-58,2334,-51,0,0
银河期货,3092,54,2039,109,965,-733
中泰期货,2945,-279,2800,-91,1350,-1446
广发期货,2930,16,2794,198,1020,49
南华期货,2929,-67,3236,194,3127,648
永安期货,2898,24,6366,44,0,0
招商期货,2834,-58,2111,-84,0,0
东证期货,2594,172,4795,163,3513,-1074
徽商期货,2315,31,0,0,667,-474
华泰期货,2250,142,2097,-45,1093,-717
国信期货,2129,20,0,0,0,0
平安期货,2001,75,0,0,0,0
申银万国,1887,92,0,0,495,94
华安期货,1880,-8,0,0,0,0
中粮期货,0,0,1941,-6,0,0
东吴期货,0,0,2653,99,0,0
中财期货,0,0,2500,-19,0,0
国富期货,0,0,0,0,708,407
国元期货,0,0,0,0,497,-5
光大期货,0,0,0,0,890,-304
宝城期货,0,0,1985,34,0,0
国投期货,0,0,2409,322,694,231
浙商期货,0,0,0,0,867,457
融达期货,0,0,0,0,461,235
紫金天风,0,0,2048,104,0,0
