date,net_position
2025-01-21,-5710
2025-01-22,-5646
2025-02-06,-5649
2025-02-07,-5542
2025-02-10,-5982
2025-02-11,-5933
2025-02-12,-6129
2025-02-13,-6434
2025-02-14,-6729
2025-02-17,-6608
2025-02-18,-6696
2025-02-19,-6494
2025-02-20,-6709
2025-02-21,-6761
2025-02-24,-6708
2025-02-25,-7125
2025-02-26,-7437
2025-02-27,-7561
2025-02-28,-7543
2025-03-03,-7772
2025-03-04,-8251
2025-03-05,-8212
2025-03-06,-8217
2025-03-07,-8458
2025-03-10,-8581
2025-03-11,-8715
2025-03-12,-8993
2025-03-13,-8703
2025-03-14,-9112
2025-03-17,-9706
2025-03-18,-9908
2025-03-19,-9705
2025-03-20,-9434
2025-03-21,-8874
2025-03-24,-9344
2025-03-25,-9545
2025-03-26,-9732
2025-03-27,-9988
2025-03-28,-9127
2025-03-31,-9619
2025-04-01,-9857
2025-04-02,-9869
2025-04-03,-10122
2025-04-07,-10127
2025-04-08,-9387
2025-04-09,-10891
2025-04-10,-11722
2025-04-11,-11651
2025-04-14,-12137
2025-04-15,-12671
2025-04-16,-12858
2025-04-17,-12707
2025-04-18,-13186
2025-04-21,-12362
2025-04-22,-13612
2025-04-23,-14021
2025-04-24,-12901
2025-04-25,-12472
2025-04-28,-11520
2025-04-29,-11076
2025-04-30,-10350
2025-05-06,-10770
2025-05-07,-10825
2025-05-08,-10356
2025-05-09,-9509
2025-05-12,-9577
2025-05-13,-9266
2025-05-14,-8869
2025-05-15,-8872
2025-05-16,-8438
2025-05-19,-8159
2025-05-20,-8206
2025-05-21,-7593
2025-05-22,-7321
2025-05-23,-6959
2025-05-26,-6251
2025-05-27,-5830
2025-05-28,-5773
2025-05-29,-4252
2025-05-30,-5319
2025-06-03,-6350
2025-06-04,-5917
2025-06-05,-5894
2025-06-06,-5323
2025-06-09,-5840
2025-06-10,-5267
2025-06-11,-6009
2025-06-12,-6954
2025-06-13,-6937
2025-06-16,-7013
2025-06-17,-7632
2025-06-18,-7392
2025-06-19,-7358
2025-06-20,-7386
2025-06-23,-6850
2025-06-24,-6474
2025-06-25,-6404
2025-06-26,-6067
2025-06-27,-5867
2025-06-30,-5826
2025-07-01,-5272
2025-07-02,-4254
2025-07-03,-4792
2025-07-04,-5863
2025-07-07,-6927
2025-07-08,-6638
2025-07-09,-6237
2025-07-10,-6367
2025-07-11,-6623
2025-07-14,-6859
2025-07-15,-7912
2025-07-16,-7214
2025-07-17,-7115
2025-07-18,-5990
2025-07-21,-6250
2025-07-22,-6310
2025-07-23,-7043
2025-07-24,-6323
2025-07-25,-7828
2025-07-28,-7262
2025-07-29,-9131
2025-07-30,-8587
2025-07-31,-6994
2025-08-01,-6605
2025-08-04,-5169
2025-08-05,-5205
2025-08-06,-4752
2025-08-07,-4318
2025-08-08,-3745
2025-08-11,-3738
2025-08-12,-3226
