company,long,long_chg,short,short_chg,volume,volume_chg
国泰君安,4347,450,6750,-35,4969,2490
中信期货,4266,-287,7495,597,5880,1818
中泰期货,3101,-172,1832,363,2683,928
东证期货,2998,393,4970,721,7216,1411
方正中期,2955,107,0,0,2276,1131
银河期货,2931,268,2325,277,3141,1011
中信建投,2805,-188,2283,202,1828,371
光大期货,2173,385,1951,195,2630,247
华泰期货,2048,80,3011,-172,1748,876
东吴期货,1724,90,0,0,958,337
东方财富,1723,-116,0,0,1386,532
中粮期货,1699,-5,0,0,0,0
海通期货,1564,673,954,367,2580,878
广发期货,1501,-31,1217,-86,1563,489
徽商期货,1342,4,0,0,1099,236
申银万国,1273,-41,0,0,0,0
浙商期货,1257,142,1419,-133,1765,657
国海良时,1241,4,0,0,0,0
国富期货,1196,95,0,0,0,0
国投期货,1177,-66,1379,-48,0,0
中原期货,0,0,1338,175,1116,473
华闻期货,0,0,0,0,1227,-226
中州期货,0,0,1810,-25,0,0
国元期货,0,0,0,0,1264,407
南华期货,0,0,1879,-66,1097,720
大地期货,0,0,1095,-62,0,0
国联期货,0,0,0,0,976,705
格林大华,0,0,1796,190,0,0
永安期货,0,0,4105,30,0,0
瑞达期货,0,0,1364,-62,0,0
首创京都,0,0,1302,191,0,0
