date,net_position
2025-11-07,-3765
2025-11-10,-3951
2025-11-11,-4626
2025-11-12,-5304
2025-11-13,-5121
2025-11-14,-5301
2025-11-17,-5366
2025-11-18,-5576
2025-11-19,-5573
2025-11-20,-5432
2025-11-21,-5340
2025-11-24,-5116
2025-11-25,-5666
2025-11-26,-4804
2025-11-27,-4880
2025-11-28,-4709
2025-12-01,-4693
2025-12-02,-4945
2025-12-03,-5051
2025-12-04,-5239
2025-12-05,-5332
2025-12-08,-5959
2025-12-09,-6065
2025-12-10,-5956
2025-12-11,-5717
2025-12-12,-5802
2025-12-15,-6061
2025-12-16,-6205
2025-12-17,-6302
2025-12-18,-6352
2025-12-19,-6512
2025-12-22,-6596
2025-12-23,-6317
2025-12-24,-6960
2025-12-25,-7112
2025-12-26,-7433
2025-12-29,-7858
2025-12-30,-8033
2025-12-31,-7974
2026-01-05,-8150
2026-01-06,-8857
2026-01-07,-9349
2026-01-08,-9645
2026-01-09,-9552
2026-01-12,-10101
2026-01-13,-10152
2026-01-14,-10893
2026-01-15,-10573
2026-01-16,-10293
2026-01-19,-9623
2026-01-20,-9907
2026-01-21,-10023
2026-01-22,-10070
2026-01-23,-10325
2026-01-26,-10492
2026-01-27,-10838
2026-01-28,-11830
2026-01-29,-11740
2026-01-30,-11615
2026-02-02,-12022
2026-02-03,-12190
2026-02-04,-12068
2026-02-05,-11784
2026-02-06,-11685
2026-02-09,-11910
2026-02-10,-12281
2026-02-11,-12172
2026-02-12,-12127
2026-02-13,-12184
2026-02-24,-11525
2026-02-25,-12059
2026-02-26,-11655
2026-02-27,-12619
2026-03-02,-13460
2026-03-03,-13058
2026-03-04,-14449
2026-03-05,-14662
2026-03-06,-15246
2026-03-09,-15945
2026-03-10,-16256
2026-03-11,-16793
2026-03-12,-16524
2026-03-13,-17177
2026-03-16,-17233
2026-03-17,-17351
2026-03-18,-17831
2026-03-19,-17840
2026-03-20,-18289
2026-03-23,-18356
2026-03-24,-18617
2026-03-25,-18941
2026-03-26,-18706
2026-03-27,-19160
2026-03-30,-19639
2026-03-31,-20031
2026-04-01,-19548
2026-04-02,-19156
2026-04-03,-18769
2026-04-07,-17509
2026-04-08,-18760
2026-04-09,-18003
2026-04-10,-18844
2026-04-13,-18016
2026-04-14,-17264
2026-04-15,-15100
2026-04-16,-15949
2026-04-17,-13033
2026-04-20,-13048
2026-04-21,-14762
2026-04-22,-3675
2026-04-23,-14361
2026-04-24,-13833
2026-04-27,-14327
2026-04-28,-13409
2026-04-29,-14437
2026-04-30,-13612
2026-05-06,-13481
2026-05-07,-14468
2026-05-08,-18241
2026-05-11,-16611
2026-05-12,-20862
2026-05-13,-19090
2026-05-14,-18325
2026-05-18,-17410
2026-05-19,-17541
2026-05-20,-17101
2026-05-21,-16952
2026-05-22,-18146
2026-05-25,-18359
2026-05-26,-15825
2026-05-27,-14881
2026-05-28,-17012
2026-05-29,-16247
2026-06-01,-16439
2026-06-02,-17619
2026-06-03,-16551
2026-06-04,-16333
2026-06-08,-16504
2026-06-09,-17206
2026-06-10,-16852
2026-06-11,-17168
2026-06-12,-16179
2026-06-15,-17424
2026-06-16,-18777
2026-06-17,-20089
2026-06-18,-16401
2026-06-22,-16437
2026-06-23,-16215
2026-06-24,-11422
2026-06-25,-14493
2026-06-26,-14484
2026-06-29,-18237
2026-06-30,-16374
2026-07-01,-16390
2026-07-02,-18368
2026-07-03,-18623
2026-07-06,-18951
2026-07-07,-16963
2026-07-08,-16490
2026-07-09,-14416
2026-07-10,-13196
2026-07-14,-12961
2026-07-15,-13373
2026-07-16,-13806
2026-07-17,-13806
2026-07-20,-9933
2026-07-21,-10474
2026-07-22,-7737
2026-07-23,-8756
2026-07-24,-8672
2026-07-27,-5970
2026-07-28,-5970
2026-07-29,-5970
