date,net_position
2025-09-17,-7306
2025-09-18,-7047
2025-09-19,-7136
2025-09-22,-7324
2025-09-23,-7674
2025-09-24,-7709
2025-09-25,-7982
2025-09-26,-8121
2025-09-29,-8405
2025-09-30,-8161
2025-10-09,-9384
2025-10-10,-9831
2025-10-13,-10238
2025-10-14,-10750
2025-10-15,-10940
2025-10-16,-10709
2025-10-17,-11075
2025-10-20,-10965
2025-10-21,-11066
2025-10-23,-11763
2025-10-24,-11883
2025-10-27,-12512
2025-10-28,-12348
2025-10-29,-11995
2025-10-30,-11882
2025-10-31,-11741
2025-11-03,-11802
2025-11-04,-11885
2025-11-05,-11896
2025-11-06,-12707
2025-11-10,-12357
2025-11-11,-12241
2025-11-12,-11837
2025-11-13,-11164
2025-11-14,-12151
2025-11-17,-11872
2025-11-18,-13358
2025-11-19,-13575
2025-11-20,-13946
2025-11-21,-14158
2025-11-24,-13430
2025-11-25,-14406
2025-11-26,-14724
2025-11-27,-15640
2025-11-28,-15416
2025-12-01,-14835
2025-12-02,-15202
2025-12-03,-14323
2025-12-04,-14976
2025-12-05,-14481
2025-12-08,-15109
2025-12-09,-15073
2025-12-10,-14938
2025-12-11,-15216
2025-12-12,-15053
2025-12-15,-15178
2025-12-16,-14872
2025-12-18,-15029
2025-12-19,-15986
2025-12-22,-15668
2025-12-23,-15717
2025-12-24,-15997
2025-12-25,-16706
2025-12-26,-17700
2025-12-29,-17599
2025-12-30,-17814
2025-12-31,-17986
2026-01-05,-18788
2026-01-06,-18809
2026-01-07,-19957
2026-01-08,-20037
2026-01-09,-19961
2026-01-12,-20186
2026-01-13,-20178
2026-01-14,-19615
2026-01-15,-19172
2026-01-16,-19571
2026-01-19,-17920
2026-01-20,-18934
2026-01-21,-18627
2026-01-22,-19242
2026-01-23,-18101
2026-01-26,-16165
2026-01-29,-17605
2026-01-30,-16669
2026-02-02,-16236
2026-02-04,-14182
2026-02-05,-14429
2026-02-06,-13620
2026-02-09,-12177
2026-02-10,-14166
2026-02-11,-11777
2026-02-12,-11984
2026-02-13,-12238
2026-02-24,-12724
2026-02-25,-10861
2026-02-26,-12352
2026-02-27,-10865
2026-03-02,-12503
2026-03-03,-13646
2026-03-04,-14189
2026-03-05,-14044
2026-03-06,-14692
2026-03-09,-15633
2026-03-11,-15833
2026-03-16,-16335
2026-03-17,-15124
2026-03-18,-12131
2026-03-19,-11508
2026-03-20,-13788
2026-03-23,-13384
2026-03-24,-11243
2026-03-25,-14394
2026-03-26,-13102
2026-03-27,-11750
2026-03-30,-11322
2026-03-31,-8424
2026-04-02,-6090
2026-04-03,-5785
2026-04-07,-6289
2026-04-08,-6457
2026-04-09,-5442
2026-04-10,-7713
2026-04-13,-7254
2026-04-14,-10056
2026-04-15,-10101
2026-04-16,-10162
2026-04-17,-9464
2026-04-20,-8621
2026-04-21,-8378
2026-04-23,-7182
2026-04-24,-6663
2026-04-27,-6436
2026-04-28,-6960
2026-04-29,-5899
