company,long,long_chg,short,short_chg,volume,volume_chg
中信期货,3390,117,3849,162,2945,1019
中泰期货,2737,-278,967,-128,1108,678
国泰君安,1886,-65,3438,-47,1446,352
东证期货,1489,56,2206,23,3235,812
中粮期货,1397,-102,1899,-133,489,216
方正中期,1335,31,0,0,827,205
海通期货,1302,4,1064,-36,788,-188
南华期货,1235,-105,2070,20,1877,275
光大期货,1227,31,2040,110,1297,380
华泰期货,1209,-5,2584,222,913,440
中信建投,1186,236,1145,265,1411,377
广发期货,1121,87,557,-39,456,184
国富期货,1010,19,0,0,430,277
东方财富,942,37,0,0,0,0
永安期货,920,13,1643,-2,0,0
国信期货,909,46,0,0,0,0
银河期货,904,-105,1216,-184,1047,656
国投期货,875,74,1241,4,0,0
徽商期货,871,40,0,0,578,153
中辉期货,831,-20,0,0,0,0
创元期货,0,0,1262,81,0,0
中财期货,0,0,0,0,417,239
中州期货,0,0,876,-7,0,0
国元期货,0,0,0,0,728,376
国海良时,0,0,538,14,0,0
宏源期货,0,0,0,0,480,406
格林大华,0,0,1878,-108,0,0
浙商期货,0,0,0,0,537,354
瑞达期货,0,0,845,61,0,0
长江期货,0,0,0,0,510,224
首创京都,0,0,3239,77,0,0
