date,net_position
2022-01-06,-2065
2022-01-07,-2080
2022-01-10,-2050
2022-01-11,-2237
2022-01-12,-2259
2022-01-13,-2251
2022-01-14,-2117
2022-01-17,-2092
2022-01-18,-2227
2022-01-19,-2316
2022-01-20,-2336
2022-01-21,-2337
2022-01-24,-2191
2022-01-25,-2281
2022-02-28,-4516
2022-03-01,-4635
2022-03-02,-4784
2022-03-03,-4851
2022-03-04,-5071
2022-03-07,-5654
2022-03-08,-5887
2022-03-09,-6467
2022-03-10,-6587
2022-03-11,-6722
2022-03-14,-6983
2022-03-15,-6023
2022-03-16,-5956
2022-03-17,-5274
2022-03-18,-5171
2022-03-21,-5784
2022-03-22,-6347
2022-03-23,-6413
2022-03-24,-6721
2022-03-25,-6595
2022-03-28,-6740
2022-03-29,-7505
2022-03-30,-7348
2022-03-31,-7453
2022-04-01,-7277
2022-04-06,-7528
2022-04-07,-7645
2022-04-08,-7755
2022-04-11,-7446
2022-04-12,-7675
2022-04-13,-8068
2022-04-14,-7889
2022-04-15,-7764
2022-04-18,-7222
2022-04-19,-7994
2022-04-20,-7513
2022-04-21,-8218
2022-04-22,-8595
2022-04-25,-8042
2022-04-26,-9253
2022-04-27,-9470
2022-04-28,-10082
2022-04-29,-10137
2022-05-05,-10681
2022-05-06,-10660
2022-05-09,-11618
2022-05-10,-12080
2022-05-11,-12567
2022-05-12,-12478
2022-05-13,-13080
2022-05-16,-13359
2022-05-17,-13449
2022-05-18,-13213
2022-05-19,-12614
2022-05-20,-13292
2022-05-23,-13128
2022-05-24,-11789
2022-05-25,-11627
2022-05-26,-11375
2022-05-27,-11492
2022-05-30,-11871
2022-05-31,-12290
2022-06-01,-11925
2022-06-02,-11544
2022-06-06,-11878
2022-06-07,-12080
2022-06-08,-12823
2022-06-09,-12989
2022-06-10,-12385
2022-06-13,-13233
2022-06-14,-13716
2022-06-15,-13674
2022-06-16,-13949
2022-06-17,-13961
2022-06-20,-13747
2022-06-21,-13716
2022-06-22,-12871
2022-06-23,-13251
2022-06-24,-12734
2022-06-27,-11420
2022-06-28,-11669
2022-06-29,-12726
2022-06-30,-12500
2022-07-01,-11727
2022-07-04,-9438
2022-07-05,-10325
2022-07-06,-10171
2022-07-07,-10592
2022-07-08,-8929
2022-07-11,-8160
2022-07-12,-8635
2022-07-13,-8331
2022-07-14,-8110
2022-07-15,-8013
2022-07-18,-7124
2022-07-19,-7022
2022-07-20,-6346
2022-07-21,-5640
2022-07-22,-5435
2022-07-25,-5063
2022-07-26,-5115
2022-07-27,-5324
2022-07-28,-5943
2022-07-29,-6134
2022-08-01,-5799
2022-08-02,-5531
2022-08-03,-5229
2022-08-04,-4974
2022-08-05,-4913
2022-08-08,-4913
2022-08-09,-4913
2022-08-10,-4913
2022-08-11,-4913
2022-08-12,-4913
2022-08-15,-4913
2022-08-16,-4913
2022-08-17,-4913
2022-08-18,-4913
2022-08-19,-4913
