date,net_position
2024-11-15,-3990
2024-11-18,-4223
2024-11-19,-4242
2024-11-20,-4553
2024-11-21,-4561
2024-11-22,-4444
2024-11-25,-4581
2024-11-26,-4154
2024-11-27,-4168
2024-11-28,-4405
2024-11-29,-4710
2024-12-02,-4645
2024-12-03,-4783
2024-12-04,-4985
2024-12-05,-5279
2024-12-06,-5067
2024-12-09,-5145
2024-12-10,-5431
2024-12-11,-5411
2024-12-12,-4922
2024-12-13,-4488
2024-12-16,-4553
2024-12-17,-4828
2024-12-18,-4645
2024-12-19,-4535
2024-12-20,-4823
2024-12-23,-4922
2024-12-24,-4625
2024-12-25,-4425
2024-12-26,-4364
2024-12-27,-4005
2024-12-30,-3398
2024-12-31,-3481
2025-01-02,-3729
2025-01-03,-3713
2025-01-06,-3421
2025-01-07,-3832
2025-01-08,-3488
2025-01-09,-3888
2025-01-10,-3272
2025-01-13,-3787
2025-01-14,-4079
2025-01-15,-4175
2025-01-16,-3912
2025-01-17,-4978
2025-01-20,-4372
2025-01-21,-4565
2025-01-22,-4220
2025-01-23,-4606
2025-01-24,-4043
2025-01-27,-4310
2025-02-05,-3649
2025-02-06,-4147
2025-02-07,-5600
2025-02-10,-6027
2025-02-11,-6212
2025-02-12,-6102
2025-02-13,-6955
2025-02-14,-6631
2025-02-17,-7021
2025-02-18,-7525
2025-02-19,-6451
2025-02-20,-6599
2025-02-21,-6408
2025-02-24,-6060
2025-02-25,-5792
2025-02-26,-4831
2025-02-27,-4857
2025-02-28,-4824
2025-03-03,-6002
2025-03-04,-7987
2025-03-05,-7943
2025-03-06,-7142
2025-03-07,-7245
2025-03-10,-7308
2025-03-11,-7923
2025-03-12,-8414
2025-03-13,-8119
2025-03-14,-8105
2025-03-17,-8905
2025-03-18,-8606
2025-03-19,-7689
2025-03-20,-7985
2025-03-21,-6539
2025-03-24,-6453
2025-03-25,-6278
2025-03-26,-6219
2025-03-27,-6314
2025-03-28,-6591
2025-03-31,-6915
2025-04-01,-6678
2025-04-02,-6200
2025-04-03,-6436
2025-04-07,-6461
2025-04-08,-5205
2025-04-09,-5612
2025-04-10,-4292
2025-04-11,-3548
