company,long,long_chg,short,short_chg,volume,volume_chg
国泰君安,4507,-207,4826,-535,3122,-3943
中信期货,3377,-217,3644,95,3804,-1511
东证期货,3256,-406,2485,-361,6369,-1281
海通期货,2178,-132,1161,-257,2359,-1227
永安期货,2172,42,3626,-13,0,0
银河期货,2052,-350,1829,-434,1878,-2083
中信建投,1958,-46,1854,-97,1633,-676
一德期货,1896,98,0,0,0,0
广发期货,1828,-203,1043,-207,1608,-922
华泰期货,1730,-71,1372,-158,2203,-479
光大期货,1458,-90,1471,59,2865,-38
中泰期货,1383,13,2072,6,991,-1151
方正中期,1279,-556,1322,-152,1788,-205
宝城期货,1260,36,0,0,0,0
海证期货,1249,69,0,0,0,0
平安期货,1214,30,0,0,0,0
东吴期货,1177,3,0,0,662,-539
徽商期货,1171,9,0,0,1172,-800
兴证期货,1118,-28,0,0,0,0
东方财富,1087,-2,0,0,1841,-885
中辉期货,0,0,0,0,1101,-212
中粮期货,0,0,4261,-101,988,247
华闻期货,0,0,0,0,1180,-335
华西期货,0,0,1143,-101,0,0
国元期货,0,0,1104,-35,0,0
南华期货,0,0,1602,-12,0,0
国投安信,0,0,1318,-5,822,-725
国富期货,0,0,0,0,809,-687
格林大华,0,0,2937,-10,0,0
正信期货,0,0,0,0,771,-254
瑞达期货,0,0,2205,-138,0,0
首创京都,0,0,1090,-124,0,0
