company,long,long_chg,short,short_chg,volume,volume_chg
中信期货（代客）,1877,-381,2194,-231,3620,-401
国泰君安（代客）,1499,-132,2311,196,3122,-30
东方财富（代客）,1175,129,0,0,1079,-267
方正中期（代客）,1095,3,952,-266,939,-208
中泰期货（代客）,1092,143,781,32,1277,-178
平安期货（代客）,976,-16,0,0,548,-59
兴证期货（代客）,865,34,0,0,0,0
海通期货（代客）,810,-46,524,-43,1044,-428
银河期货（代客）,780,-40,678,-10,1164,121
永安期货（代客）,749,-5,573,2,0,0
东证期货（代客）,744,-240,1689,-72,2600,-1560
申银万国（代客）,735,96,0,0,0,0
国富期货（代客）,710,3,397,-10,689,-141
徽商期货（代客）,700,-40,0,0,762,-34
中信建投（代客）,698,21,1839,35,926,-409
华泰期货（代客）,662,-228,1420,-48,1154,-353
中粮期货（代客）,637,-11,2503,147,636,174
东吴期货（代客）,628,-9,1255,5,738,-95
国元期货（代客）,573,-74,0,0,555,-366
广发期货（代客）,515,-208,507,-10,1118,-38
光大期货（代客）,0,0,0,0,512,-125
南华期货（代客）,0,0,906,6,0,0
创元期货（代客）,0,0,442,-11,0,0
国投期货（代客）,0,0,401,-3,0,0
招商期货（代客）,0,0,0,0,689,-425
新湖期货（代客）,0,0,412,96,0,0
格林大华（代客）,0,0,1102,-44,0,0
浙商期货（代客）,0,0,0,0,1372,852
首创京都（代客）,0,0,617,-51,0,0
