company,long,long_chg,short,short_chg,volume,volume_chg
国泰君安,2734,241,3970,197,1888,532
中信建投,2340,57,2982,165,968,470
东证期货,2001,540,2163,685,3637,750
中信期货,1681,41,2938,311,2016,548
海通期货,1679,214,1165,190,3022,876
广发期货,1566,52,1121,29,0,0
华闻期货,1428,-28,1372,-27,1455,384
新湖期货,1354,-13,1834,85,456,135
银河期货,1145,107,0,0,973,497
华泰期货,1111,-83,1977,-37,498,-290
方正中期,1077,43,0,0,688,246
招商期货,1070,-84,1258,33,879,300
国信期货,980,-10,0,0,0,0
徽商期货,975,62,0,0,508,118
中粮期货,961,-14,2585,-324,548,390
国投安信,943,-22,1197,15,433,184
浙商期货,922,-69,1175,13,410,124
中泰期货,867,50,1546,-91,963,244
南华期货,812,21,1083,19,376,232
宏源期货,812,29,0,0,0,0
创元期货,0,0,1019,3,0,0
东吴期货,0,0,0,0,895,327
东方财富,0,0,0,0,480,135
国元期货,0,0,1026,18,0,0
格林大华,0,0,1006,-93,0,0
永安期货,0,0,1083,-25,456,303
瑞达期货,0,0,1523,95,0,0
