company,long,long_chg,short,short_chg,volume,volume_chg
国泰君安（代客）,5398,-843,5440,-422,9181,5050
中信期货（代客）,4857,21,4391,131,9092,4152
东证期货（代客）,3227,221,4437,730,8969,2895
中信建投（代客）,3085,123,1144,-302,4091,2004
格林大华（代客）,3080,-129,1467,-57,0,0
中粮期货（代客）,2409,-97,3267,-1087,2268,1461
中泰期货（代客）,2132,490,0,0,4090,1705
方正中期（代客）,2093,-97,0,0,3514,680
银河期货（代客）,1976,111,1448,153,5116,1905
永安期货（代客）,1915,142,1783,68,2150,1039
海通期货（代客）,1800,-115,2445,499,4350,2294
南华期货（代客）,1528,290,1881,181,1661,873
华泰期货（代客）,1504,-228,2417,302,4604,1555
光大期货（代客）,1280,9,0,0,1595,60
东方财富（代客）,1278,255,0,0,2723,1166
五矿期货（代客）,1128,-191,869,-20,0,0
长江期货（代客）,1090,125,1135,-41,1958,954
平安期货（代客）,1079,268,0,0,0,0
广发期货（代客）,941,236,0,0,1700,941
先锋期货（代客）,911,32,0,0,0,0
创元期货（代客）,0,0,1296,65,0,0
中原期货（代客）,0,0,0,0,2301,513
中州期货（代客）,0,0,1097,3,0,0
兴证期货（代客）,0,0,1539,264,0,0
招商期货（代客）,0,0,1625,-49,0,0
国富期货（代客）,0,0,0,0,1600,884
国投安信（代客）,0,0,1122,100,0,0
国元期货（代客）,0,0,0,0,2167,1477
徽商期货（代客）,0,0,0,0,2876,1844
浙商期货（代客）,0,0,1128,121,0,0
鑫鼎盛期货（代客）,0,0,819,-18,0,0
