company,long,long_chg,short,short_chg,volume,volume_chg
中信期货,6284,210,6050,191,5533,-72
国泰君安,4481,-53,11426,349,2142,-682
东证期货,4205,293,4495,3,2438,-596
银河期货,3115,-11,2372,1,566,-213
广发期货,3100,48,0,0,457,-372
东方财富,2939,21,0,0,660,168
中信建投,2867,85,2084,188,967,383
方正中期,2854,179,1743,-204,1289,20
华泰期货,2740,-28,3909,-266,1122,-53
徽商期货,2561,-8,0,0,490,13
海通期货,2431,299,0,0,1157,62
中泰期货,2280,-109,2760,-18,951,-208
永安期货,2151,98,7420,-147,0,0
光大期货,2036,153,0,0,1388,64
申银万国,2023,59,0,0,0,0
招商期货,1911,11,1461,-8,0,0
东吴期货,1901,-32,2091,25,475,179
中粮期货,1701,10,4952,-21,0,0
平安期货,1693,132,0,0,528,309
国海良时,1645,11,1618,-24,0,0
中州期货,0,0,3823,81,0,0
五矿期货,0,0,1484,18,0,0
南华期货,0,0,3111,-7,2664,-186
创元期货,0,0,1580,117,403,124
兴证期货,0,0,0,0,844,439
国元期货,0,0,0,0,490,83
国投期货,0,0,3796,-14,0,0
格林大华,0,0,5134,-31,0,0
浙商期货,0,0,0,0,741,116
首创京都,0,0,1710,-42,0,0
