company,long,long_chg,short,short_chg,volume,volume_chg
国泰君安,1795,2,4090,74,286,-305
中信期货,1473,-11,1303,39,154,-35
海通期货,1392,4,1208,3,75,-63
东证期货,1278,12,721,1,119,-96
方正中期,1107,-19,735,44,217,26
中信建投,961,29,889,27,90,-73
中财期货,865,4,0,0,77,-13
银河期货,837,27,0,0,54,-38
长江期货,799,-2,567,-3,107,-89
招商期货,725,0,539,0,0,0
南华期货,682,18,2314,14,0,0
中州期货,672,101,344,-1,108,104
中粮期货,524,6,1817,-53,73,-160
永安期货,496,1,457,81,106,65
中原期货,422,-49,0,0,54,52
国投期货,381,3,1508,20,0,0
东吴期货,378,3,349,2,0,0
中泰期货,377,-10,456,-2,0,0
港信期货,340,5,0,0,0,0
东方财富,332,-21,0,0,59,2
五矿期货,0,0,428,1,0,0
华泰期货,0,0,0,0,74,55
华闻期货,0,0,0,0,104,63
新湖期货,0,0,0,0,81,73
平安期货,0,0,0,0,93,84
宏源期货,0,0,0,0,87,79
国海良时,0,0,400,0,0,0
广发期货,0,0,666,1,0,0
格林大华,0,0,2475,-65,81,55
瑞达期货,0,0,494,-1,0,0
