company,long,long_chg,short,short_chg,volume,volume_chg
中信期货,1850,-202,678,-44,552,146
中财期货,1185,11,303,2,0,0
国泰君安,1179,-22,1612,-37,755,-361
东证期货,1014,-24,436,14,1988,0
永安期货,728,20,2572,42,0,0
东吴期货,701,25,0,0,288,88
方正中期,620,-4,423,-22,254,46
中信建投,585,-14,489,-3,0,0
中粮期货,568,-58,1963,-10,138,-136
一德期货,542,-123,0,0,205,159
银河期货,523,-13,1103,-14,185,-2
东方财富,505,17,0,0,152,-3
国投期货,488,-9,543,32,0,0
广发期货,445,17,0,0,230,51
国信期货,437,28,0,0,0,0
中泰期货,415,9,853,-6,213,47
宏源期货,398,27,0,0,0,0
新湖期货,389,6,0,0,0,0
浙商期货,383,5,0,0,0,0
国金期货,372,10,0,0,0,0
上海中期,0,0,0,0,141,132
大有期货,0,0,0,0,158,18
华泰期货,0,0,0,0,258,-154
华西期货,0,0,383,-16,0,0
南华期货,0,0,1057,-8,0,0
五矿期货,0,0,560,-3,0,0
中州期货,0,0,1080,-5,0,0
华安期货,0,0,0,0,188,133
徽商期货,0,0,0,0,146,-13
正信期货,0,0,0,0,228,207
格林大华,0,0,2426,-12,0,0
平安期货,0,0,847,-55,0,0
渤海期货,0,0,0,0,197,-26
申银万国,0,0,377,-12,0,0
道通期货,0,0,0,0,202,202
长江期货,0,0,328,-1,185,134
首创京都,0,0,595,-4,0,0
