company,long,long_chg,short,short_chg,volume,volume_chg
国泰君安,2334,38,3038,-11,737,-467
中信建投,1646,25,2382,111,660,-42
中信期货,1407,140,2989,148,824,368
新湖期货,1401,1,1232,12,389,121
海通期货,1341,75,886,55,0,0
东证期货,1266,134,762,2,2092,548
华泰期货,1039,-22,1952,414,646,391
浙商期货,989,264,1369,338,740,428
南华期货,983,-6,1012,-12,334,-143
国投安信,969,44,1108,31,331,101
招商期货,964,30,1128,4,392,114
中粮期货,906,-7,3993,42,0,0
广发期货,888,59,663,26,0,0
方正中期,884,135,0,0,395,14
中原期货,855,230,0,0,343,7
国信期货,758,25,567,-8,0,0
徽商期货,749,68,0,0,251,75
银河期货,746,24,0,0,0,0
永安期货,726,18,0,0,0,0
宏源期货,713,46,0,0,0,0
中泰期货,0,0,710,115,501,330
东吴期货,0,0,0,0,237,21
华闻期货,0,0,0,0,416,359
国元期货,0,0,725,-2,0,0
五矿期货,0,0,692,399,437,404
兴证期货,0,0,0,0,303,242
格林大华,0,0,1959,40,0,0
渤海期货,0,0,0,0,235,-32
瑞达期货,0,0,1007,-2,0,0
申银万国,0,0,0,0,252,114
首创京都,0,0,618,0,0,0
