date,net_position
2021-07-05,-6441
2021-07-06,-6363
2021-07-07,-6369
2021-07-08,-6392
2021-07-09,-6396
2021-07-12,-6317
2021-07-13,-6499
2021-07-14,-6339
2021-07-15,-6314
2021-07-16,-6389
2021-07-19,-6588
2021-07-20,-6209
2021-07-21,-6471
2021-07-22,-6373
2021-07-23,-6593
2021-07-26,-6360
2021-07-27,-6285
2021-07-28,-6264
2021-07-29,-6302
2021-07-30,-6401
2021-08-02,-6416
2021-08-03,-6458
2021-08-04,-6547
2021-08-05,-6550
2021-08-06,-6548
2021-08-09,-6686
2021-08-10,-6595
2021-08-11,-7002
2021-08-12,-6939
2021-08-13,-7040
2021-08-16,-6946
2021-08-17,-6853
2021-08-18,-7171
2021-08-19,-7024
2021-08-20,-7531
2021-08-23,-6995
2021-08-24,-7145
2021-08-25,-7418
2021-08-26,-7636
2021-08-27,-7634
2021-08-30,-7972
2021-09-01,-7626
2021-09-02,-7469
2021-09-03,-7266
2021-09-06,-7077
2021-09-07,-7264
2021-09-08,-6818
2021-09-09,-5836
2021-09-10,-6740
2021-09-13,-6863
2021-09-14,-6742
2021-09-15,-6504
2021-09-16,-7723
2021-09-17,-8115
2021-09-22,-7624
2021-09-23,-7288
2021-09-24,-7484
2021-09-27,-9806
2021-09-28,-10167
2021-09-29,-10346
2021-09-30,-10274
2021-10-08,-10007
2021-10-11,-9656
2021-10-12,-7034
2021-10-13,-7331
2021-10-14,-7690
2021-10-15,-7539
2021-10-18,-7680
2021-10-19,-7736
2021-10-20,-7324
2021-10-21,-6655
2021-10-22,-6877
2021-10-25,-7729
2021-10-26,-7726
2021-10-27,-7500
2021-10-28,-8433
2021-10-29,-7087
2021-11-01,-6627
2021-11-02,-7309
2021-11-03,-7855
2021-11-04,-8127
2021-11-05,-7589
2021-11-08,-6936
2021-11-09,-7159
2021-11-10,-6799
2021-11-11,-6815
2021-11-12,-6135
2021-11-15,-6440
2021-11-16,-6099
2021-11-17,-6742
2021-11-18,-7385
2021-11-19,-6970
2021-11-22,-6711
2021-11-23,-6480
2021-11-24,-6948
2021-11-25,-6876
2021-11-26,-6245
2021-11-29,-6133
2021-11-30,-5595
2021-12-01,-5748
2021-12-02,-4067
2021-12-03,-3965
2021-12-06,-3773
2021-12-07,-3277
2021-12-08,-3248
2021-12-09,-2951
2021-12-10,-3228
2021-12-13,-2673
2021-12-14,-2756
2021-12-15,-2670
2021-12-16,-2472
2021-12-17,-2225
2021-12-20,-1939
2021-12-21,-1734
2021-12-22,-1538
2021-12-23,-1962
