date,net_position
2024-04-02,-5950
2024-04-03,-5781
2024-04-08,-6338
2024-04-09,-6644
2024-04-10,-6952
2024-04-11,-6914
2024-04-12,-7041
2024-04-15,-7338
2024-04-16,-7511
2024-04-17,-7411
2024-04-18,-7836
2024-04-19,-8142
2024-04-22,-8287
2024-04-23,-7553
2024-04-24,-7915
2024-04-25,-7805
2024-04-26,-8391
2024-04-29,-8186
2024-04-30,-8221
2024-05-06,-8250
2024-05-07,-8071
2024-05-08,-8056
2024-05-09,-8224
2024-05-10,-9015
2024-05-13,-9111
2024-05-14,-9678
2024-05-15,-9575
2024-05-16,-9461
2024-05-17,-9701
2024-05-20,-9889
2024-05-21,-10229
2024-05-22,-10424
2024-05-23,-10523
2024-05-24,-10537
2024-05-27,-10315
2024-05-28,-10364
2024-05-29,-9930
2024-05-30,-10608
2024-05-31,-10464
2024-06-03,-10423
2024-06-04,-10369
2024-06-05,-9934
2024-06-06,-9590
2024-06-07,-8644
2024-06-11,-8891
2024-06-12,-9059
2024-06-13,-8713
2024-06-14,-8531
2024-06-17,-8448
2024-06-18,-8286
2024-06-19,-8118
2024-06-20,-7837
2024-06-21,-7876
2024-06-24,-7153
2024-06-25,-6860
2024-06-26,-6435
2024-06-27,-6357
2024-06-28,-6354
2024-07-01,-5474
2024-07-02,-5980
2024-07-03,-5187
2024-07-04,-5220
2024-07-05,-5169
2024-07-08,-6231
2024-07-09,-6952
2024-07-10,-6675
2024-07-11,-6446
2024-07-12,-6191
2024-07-15,-5968
2024-07-16,-6366
2024-07-17,-5965
2024-07-18,-6144
2024-07-19,-5829
2024-07-22,-6758
2024-07-23,-6384
2024-07-24,-5952
2024-07-25,-5773
2024-07-26,-5334
2024-07-29,-5166
2024-07-30,-5024
2024-07-31,-4763
2024-08-01,-3980
2024-08-02,-3976
2024-08-05,-4307
2024-08-06,-3453
2024-08-07,-3007
2024-08-08,-2691
2024-08-09,-4319
2024-08-12,-7025
2024-08-13,-5672
2024-08-14,-7142
2024-08-15,-6795
2024-08-16,-6948
2024-08-19,-6823
2024-08-20,-7061
2024-08-21,-6071
2024-08-22,-5822
2024-08-23,-5805
2024-08-26,-5220
2024-08-27,-4901
2024-08-28,-4951
2024-08-29,-4664
2024-08-30,-3189
2024-09-02,-2861
2024-09-03,-1959
2024-09-04,-1811
2024-09-05,-825
2024-09-06,398
2024-09-09,881
2024-09-10,2338
2024-09-11,4086
2024-09-12,3444
2024-09-13,2873
2024-09-18,3687
2024-09-19,3791
2024-09-20,2530
2024-09-24,2212
2024-09-25,1961
2024-09-26,1323
2024-09-27,1028
2024-09-30,-112
2024-10-08,-370
2024-10-09,-478
2024-10-10,-869
2024-10-11,166
2024-10-14,-273
2024-10-15,-296
2024-10-16,92
