company,long,long_chg,short,short_chg,volume,volume_chg
国泰君安,2116,59,2693,49,2636,-362
中信期货,1920,49,1392,-111,1912,-1145
银河期货,1475,71,1672,25,1206,-8
华泰期货,1214,33,1486,59,982,-139
东方财富,1075,51,0,0,1445,-239
和合期货,991,4,0,0,0,0
永安期货,966,205,581,-22,645,-189
海通期货,819,-53,721,-46,1155,-234
浙商期货,818,87,700,45,1044,0
光大期货,789,31,0,0,902,258
中泰期货,786,-431,0,0,1522,352
方正中期,771,204,469,182,1018,-378
长江期货,758,-5,0,0,807,109
东证期货,731,43,663,124,981,-250
中信建投,710,59,0,0,1036,-278
南华期货,692,40,1369,7,593,-367
广发期货,682,42,1089,18,0,0
国投安信,641,-15,2266,384,831,-383
申银万国,606,31,0,0,0,0
中粮期货,549,-24,3044,222,884,-340
五矿期货,0,0,543,32,0,0
华闻期货,0,0,607,-87,0,0
国富期货,0,0,0,0,754,-142
国元期货,0,0,671,26,0,0
平安期货,0,0,0,0,592,286
徽商期货,0,0,0,0,593,19
格林大华,0,0,556,80,0,0
紫金天风,0,0,835,96,0,0
首创京都,0,0,714,33,0,0
齐盛期货,0,0,579,29,0,0
