company,long,long_chg,short,short_chg,volume,volume_chg
中信建投,975,141,1266,1,428,-109
国泰君安,875,43,1315,-137,598,-10
永安期货,822,-44,338,0,0,0
东证期货,784,-94,0,0,726,-793
广发期货,669,1,1007,-14,217,-117
华泰期货,626,-18,431,-9,0,0
国投安信,561,-18,850,10,0,0
国信期货,559,37,0,0,0,0
方正中期,493,24,0,0,158,-87
国富期货,474,6,445,-10,0,0
银河期货,465,-196,0,0,302,27
中泰期货,455,1,0,0,359,-286
中粮期货,440,37,2689,1,0,0
一德期货,428,26,0,0,0,0
光大期货,413,-25,540,-6,0,0
中信期货,393,-10,1456,14,258,-33
大地期货,392,8,0,0,0,0
徽商期货,389,-65,0,0,205,80
中辉期货,362,4,0,0,0,0
宏源期货,296,-5,0,0,0,0
东方财富,0,0,0,0,175,-185
东吴期货,0,0,0,0,219,51
创元期货,0,0,459,-6,0,0
平安期货,0,0,0,0,193,34
南华期货,0,0,1172,-12,240,27
华西期货,0,0,1169,37,0,0
华闻期货,0,0,0,0,153,-51
五矿期货,0,0,346,-2,0,0
广州期货,0,0,355,68,0,0
浙商期货,0,0,0,0,176,-12
格林大华,0,0,875,-35,0,0
海通期货,0,0,0,0,165,-77
瑞达期货,0,0,937,-34,0,0
英大期货,0,0,0,0,145,105
申银万国,0,0,299,-109,161,73
西部期货,0,0,0,0,193,78
金石期货,0,0,324,0,0,0
长江期货,0,0,0,0,235,-247
首创京都,0,0,508,-2,0,0
