company,long,long_chg,short,short_chg,volume,volume_chg
国泰君安,3931,430,7928,86,2636,-528
东证期货,3284,1011,2167,116,5695,1164
中信期货,2590,143,4406,600,4033,637
方正中期,2512,58,0,0,1467,230
永安期货,1880,69,9138,528,1307,707
银河期货,1836,156,1579,154,1292,-374
中泰期货,1723,179,3074,664,1665,561
广发期货,1672,123,1004,4,1267,105
徽商期货,1649,245,0,0,1369,549
华泰期货,1519,530,1177,201,1351,251
新湖期货,1510,14,0,0,0,0
中信建投,1485,11,1622,384,1343,306
东方财富,1439,104,0,0,905,76
国金期货,1417,15,0,0,0,0
光大期货,1356,1,0,0,925,-90
平安期货,1332,81,1002,15,0,0
申银万国,1163,-32,0,0,710,-1
五矿期货,1132,-76,1093,-480,1020,614
中粮期货,1102,-9,4008,300,0,0
南华期货,1067,-106,2604,-10,2394,204
东吴期货,0,0,974,-25,1748,613
中州期货,0,0,1651,42,0,0
中财期货,0,0,0,0,1062,158
国投期货,0,0,2226,50,0,0
国海良时,0,0,1137,14,0,0
广州期货,0,0,970,-13,0,0
国信期货,0,0,0,0,826,104
招商期货,0,0,1042,336,2562,331
格林大华,0,0,5153,90,0,0
