date,net_position
2024-05-22,-5061
2024-05-23,-4806
2024-05-24,-4958
2024-05-27,-4872
2024-05-28,-4708
2024-05-29,-5158
2024-05-30,-5273
2024-05-31,-5526
2024-06-03,-5099
2024-06-04,-5293
2024-06-05,-5131
2024-06-06,-5058
2024-06-07,-4680
2024-06-11,-4481
2024-06-12,-4539
2024-06-13,-4424
2024-06-14,-4673
2024-06-17,-4959
2024-06-18,-5385
2024-06-19,-5576
2024-06-20,-5621
2024-06-21,-5632
2024-06-24,-5668
2024-06-25,-5445
2024-06-26,-6078
2024-06-27,-5981
2024-06-28,-5896
2024-07-01,-5882
2024-07-02,-6193
2024-07-03,-6124
2024-07-04,-6488
2024-07-05,-6415
2024-07-08,-6115
2024-07-09,-5458
2024-07-10,-5333
2024-07-11,-5036
2024-07-12,-5397
2024-07-15,-4853
2024-07-16,-4717
2024-07-17,-5030
2024-07-18,-5890
2024-07-19,-6039
2024-07-22,-6565
2024-07-23,-6312
2024-07-24,-6381
2024-07-25,-6706
2024-07-26,-6828
2024-07-29,-7072
2024-07-30,-6817
2024-07-31,-6425
2024-08-01,-6359
2024-08-02,-6125
2024-08-05,-5842
2024-08-06,-6162
2024-08-07,-5887
2024-08-08,-5933
2024-08-09,-6062
2024-08-12,-6230
2024-08-13,-6240
2024-08-14,-6513
2024-08-15,-5972
2024-08-16,-6060
2024-08-19,-6340
2024-08-20,-6702
2024-08-21,-6438
2024-08-22,-6562
2024-08-23,-6002
2024-08-26,-5665
2024-08-27,-5509
2024-08-28,-5371
2024-08-29,-5370
2024-08-30,-5338
2024-09-02,-6221
2024-09-03,-5924
2024-09-04,-5590
2024-09-05,-5298
2024-09-06,-5756
2024-09-09,-5593
2024-09-10,-4813
2024-09-11,-4246
2024-09-12,-3892
2024-09-13,-3621
2024-09-18,-2749
2024-09-19,-2281
2024-09-20,-2189
2024-09-23,-2210
2024-09-24,-1084
2024-09-25,-936
2024-09-26,-440
2024-09-27,-107
2024-09-30,-143
2024-10-08,-1295
2024-10-09,-894
2024-10-10,-837
2024-10-11,-17
2024-10-14,658
2024-10-15,694
2024-10-16,658
2024-10-17,733
2024-10-18,781
2024-10-21,888
2024-10-22,1054
2024-10-23,1221
2024-10-24,1117
2024-10-25,860
2024-10-28,1919
2024-10-29,2328
2024-10-30,2542
2024-10-31,2167
2024-11-01,2585
2024-11-04,179
2024-11-05,238
2024-11-06,414
2024-11-07,217
2024-11-08,785
2024-11-11,1600
2024-11-12,96
2024-11-13,-295
2024-11-14,435
2024-11-15,-154
2024-11-18,-629
2024-11-19,206
2024-11-20,1048
2024-11-21,1685
2024-11-22,1063
2024-11-25,-65
2024-11-26,-1424
2024-11-27,-1331
2024-11-28,346
2024-11-29,-607
2024-12-02,-430
2024-12-03,-788
2024-12-04,-817
2024-12-05,-295
2024-12-06,-271
2024-12-09,-261
2024-12-10,-383
2024-12-11,-527
2024-12-12,-1605
2024-12-13,-1547
2024-12-16,-1574
2024-12-17,-1458
2024-12-18,-1002
