date,net_position
2023-08-14,-3127
2023-08-15,-3213
2023-08-16,-3132
2023-08-17,-3109
2023-08-18,-3122
2023-08-21,-3073
2023-08-22,-3141
2023-08-23,-3322
2023-08-24,-3376
2023-08-25,-3356
2023-08-28,-3143
2023-08-29,-3029
2023-08-30,-3059
2023-08-31,-3035
2023-09-01,-3174
2023-09-04,-3054
2023-09-05,-2922
2023-09-06,-2779
2023-09-07,-2664
2023-09-08,-2683
2023-09-11,-2641
2023-09-12,-2853
2023-09-13,-2880
2023-09-14,-2889
2023-09-15,-2796
2023-09-18,-2824
2023-09-19,-2735
2023-09-20,-2563
2023-09-21,-2536
2023-09-22,-2385
2023-09-25,-2510
2023-09-26,-2395
2023-09-27,-2357
2023-09-28,-2093
2023-10-09,-2481
2023-10-10,-2187
2023-10-11,-2220
2023-10-12,-2132
2023-10-13,-2021
2023-10-16,-2432
2023-10-17,-2290
2023-10-18,-2157
2023-10-19,-2413
2023-10-20,-2800
2023-10-23,-2671
2023-10-24,-2509
2023-10-25,-3119
2023-10-26,-2936
2023-10-27,-3454
2023-10-30,-3580
2023-10-31,-3516
2023-11-01,-3192
2023-11-02,-2699
2023-11-03,-2656
2023-11-06,-3130
2023-11-07,-2786
2023-11-08,-3231
2023-11-09,-2877
2023-11-10,-2775
2023-11-13,-3360
2023-11-14,-3260
2023-11-15,-3142
2023-11-16,-3276
2023-11-17,-3217
2023-11-20,-2912
2023-11-21,-2990
2023-11-22,-2734
2023-11-23,-2832
2023-11-24,-3386
2023-11-27,-4328
2023-11-28,-5237
2023-11-29,-4665
2023-11-30,-4551
2023-12-01,-5036
2023-12-04,-4957
2023-12-05,-5204
2023-12-06,-4985
2023-12-07,-4123
2023-12-08,-5734
2023-12-11,-4932
2023-12-12,-7427
2023-12-13,-5443
2023-12-14,-5519
2023-12-15,-4986
2023-12-18,-4233
2023-12-19,-3925
2023-12-20,-2960
2023-12-21,-4402
2023-12-22,-4915
2023-12-25,-4442
2023-12-26,-5628
2023-12-27,-4872
2023-12-28,-4521
2023-12-29,-3183
2024-01-02,-2133
2024-01-03,-2324
2024-01-04,-2733
2024-01-05,-4582
2024-01-08,-4228
2024-01-09,-5348
2024-01-10,-6269
2024-01-11,-4919
2024-01-12,-4621
2024-01-15,-3541
2024-01-16,-3567
2024-01-17,-3308
2024-01-18,-2758
2024-01-19,-1200
2024-01-22,-1932
2024-01-23,-2231
2024-01-24,-1345
2024-01-25,-1687
2024-01-26,-2703
2024-01-29,-3131
2024-01-30,-2291
2024-01-31,-3905
2024-02-01,-3062
2024-02-02,-1209
2024-02-05,-425
2024-02-06,-632
2024-02-07,211
2024-02-08,-339
2024-02-19,-309
2024-02-20,-1031
2024-02-21,-1346
2024-02-22,-2260
2024-02-23,-2187
2024-02-26,-2237
