company,long,long_chg,short,short_chg,volume,volume_chg
中信期货,4364,907,6711,777,17644,12480
国泰君安,3817,464,6345,1654,20190,14410
东证期货,3293,606,4317,1033,15084,8831
光大期货,2167,407,1899,234,7243,3863
海通期货,2103,927,1515,1025,8569,5456
银河期货,1984,442,1903,103,6465,3663
广发期货,1965,514,953,259,4475,3400
华闻期货,1847,626,1423,595,5653,3023
方正中期,1775,201,1087,258,6745,5089
中信建投,1735,149,2543,192,7333,6271
国海良时,1605,99,0,0,0,0
中泰期货,1600,-147,2113,511,7692,4850
徽商期货,1418,200,0,0,4077,3350
华泰期货,1330,77,2681,183,6163,4529
东吴期货,1282,27,0,0,3804,3246
国元期货,1106,340,0,0,0,0
东方财富,1078,181,0,0,3735,2525
国富期货,1068,209,0,0,4052,3222
招商期货,980,269,0,0,0,0
平安期货,937,-22,0,0,0,0
中财期货,0,0,0,0,4517,3993
中原期货,0,0,973,118,0,0
中州期货,0,0,1727,14,0,0
南华期货,0,0,0,0,4888,4233
大地期货,0,0,904,86,0,0
国投期货,0,0,1050,138,0,0
格林大华,0,0,1872,250,0,0
浙商期货,0,0,1113,619,3173,2146
永安期货,0,0,2451,-530,0,0
申银万国,0,0,0,0,3269,2779
首创京都,0,0,917,120,0,0
