company,long,long_chg,short,short_chg,volume,volume_chg
中信期货,3536,-202,6122,221,2857,-2656
国泰君安,3341,-93,3855,-124,3273,-4253
东证期货,3259,-273,3077,-627,6124,-2797
华泰期货,2990,-130,3177,-97,2345,-2792
永安期货,2704,187,2873,295,0,0
中信建投,2703,-111,2326,-40,3927,-515
东方财富,2478,23,0,0,2343,-1184
方正中期,2440,247,0,0,3290,-586
中泰期货,2330,-211,2990,-151,1930,-1628
银河期货,2152,-3,1587,106,2899,-394
广发期货,2088,-63,1421,-104,1097,-947
国信期货,2010,-80,1640,-21,0,0
招商期货,2003,-149,1933,59,0,0
海通期货,1991,-315,1538,-246,2075,-1746
徽商期货,1933,116,0,0,1533,-855
国元期货,1510,1,0,0,0,0
国投安信,1401,14,2943,33,0,0
新湖期货,1337,-51,1912,183,1612,-1238
东吴期货,1232,-8,0,0,961,-957
平安期货,1138,-31,0,0,0,0
中粮期货,0,0,3524,45,0,0
中原期货,0,0,0,0,2584,370
光大期货,0,0,0,0,917,-488
南华期货,0,0,1689,8,0,0
华闻期货,0,0,0,0,1473,-1287
华西期货,0,0,0,0,1278,-118
兴证期货,0,0,1481,-9,0,0
国富期货,0,0,0,0,1423,-421
浙商期货,0,0,1653,-445,2051,-561
瑞达期货,0,0,1569,113,0,0
首创京都,0,0,1726,-79,0,0
