company,long,long_chg,short,short_chg,volume,volume_chg
东方财富,3657,-235,0,0,4862,293
国泰君安,3532,144,6278,-103,5685,-3238
中信期货,3136,-17,4354,-211,4390,60
东证期货,2701,401,3578,-104,6041,-2086
中信建投,2593,66,1592,-58,3050,-555
方正中期,2431,-41,1390,112,2369,-469
银河期货,2229,-11,1044,-10,2535,-1076
广发期货,2227,68,1845,45,2749,-138
徽商期货,1983,-51,0,0,2641,704
平安期货,1814,16,0,0,1293,-435
中泰期货,1574,-89,2084,95,2266,-927
光大期货,1559,88,0,0,1452,312
永安期货,1550,47,2230,-85,0,0
海通期货,1418,-195,0,0,2787,-3808
华泰期货,1291,-8,2445,120,2914,-136
国投安信,1084,77,2176,-2,0,0
国信期货,1079,104,1110,283,0,0
申银万国,1006,-4,0,0,0,0
华闻期货,900,67,0,0,0,0
招商期货,895,41,0,0,0,0
中原期货,0,0,0,0,1773,-1181
东吴期货,0,0,1395,-168,1620,109
中粮期货,0,0,2538,91,0,0
中财期货,0,0,1081,69,1747,597
国富期货,0,0,0,0,2259,169
国元期货,0,0,0,0,1428,-449
南华期货,0,0,1262,33,0,0
宝城期货,0,0,0,0,1592,194
浙商期货,0,0,911,-153,0,0
格林大华,0,0,1658,-146,0,0
瑞达期货,0,0,1582,-59,0,0
首创京都,0,0,1168,36,0,0
